Company,Weight,Percentage,Sharpe Ratio,Annual Return
Kimco Realty Corporation Common Stock,0.000600049,0.06000489999999999,0.8484295744551378,109.37613540120807
"Kirkland's, Inc. - Common Stock",0.010766715,1.0766715,0.8484295744551378,109.37613540120807
Stepan Company Common Stock,0.053306953,5.3306952999999995,0.8484295744551378,109.37613540120807
"Watts Water Technologies, Inc. Class A Common Stock",0.011566693,1.1566693,0.8484295744551378,109.37613540120807
"Lifetime Brands, Inc. - Common Stock",0.005133041,0.5133040999999999,0.8484295744551378,109.37613540120807
"Dave & Buster's Entertainment, Inc. - Common Stock",0.014327935,1.4327935,0.8484295744551378,109.37613540120807
"PolarityTE, Inc. - Common Stock",0.008894442,0.8894442,0.8484295744551378,109.37613540120807
Fluidigm Corporation - Common Stock,0.000346264,0.0346264,0.8484295744551378,109.37613540120807
IRSA Propiedades Comerciales S.A. - American Depository Shares,0.010337387,1.0337387,0.8484295744551378,109.37613540120807
"SPS Commerce, Inc. - Common Stock",0.001060585,0.1060585,0.8484295744551378,109.37613540120807
"Lexicon Pharmaceuticals, Inc. - Common Stock",0.0,0.0,0.8484295744551378,109.37613540120807
"Donegal Group, Inc. - Class B Common Stock",0.000218518,0.0218518,0.8484295744551378,109.37613540120807
"Shiloh Industries, Inc. - Common Stock",0.003769765,0.3769765,0.8484295744551378,109.37613540120807
"DB Gold Double Long ETN due February 15, 2038",0.0,0.0,0.8484295744551378,109.37613540120807
Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,0.023293881,2.3293881,0.8484295744551378,109.37613540120807
"OSI Systems, Inc. - Common Stock",0.026939856,2.6939856,0.8484295744551378,109.37613540120807
UNIVERSAL INSURANCE HOLDINGS INC Common Stock,0.006864464,0.6864464,0.8484295744551378,109.37613540120807
Lincoln Educational Services Corporation - Common Stock,0.006935874,0.6935874,0.8484295744551378,109.37613540120807
"Aerie Pharmaceuticals, Inc. - Common Stock",0.003080993,0.3080993,0.8484295744551378,109.37613540120807
"Independence Realty Trust, Inc. Common Stock",0.004853639,0.48536389999999996,0.8484295744551378,109.37613540120807
"Blackstone Mortgage Trust, Inc. Common Stock",0.032697814,3.2697814,0.8484295744551378,109.37613540120807
"Entergy Mississippi, LLC First Mortgage Bonds, 4.90% Series Due October 1, 2066",0.097476063,9.747606300000001,0.8484295744551378,109.37613540120807
"ServiceMaster Global Holdings, Inc. Common Stock",0.022746347,2.2746347,0.8484295744551378,109.37613540120807
American Equity Investment Life Holding Company Common Stock,0.000699677,0.0699677,0.8484295744551378,109.37613540120807
"Manitex International, Inc. - common stock",0.005988656,0.5988656,0.8484295744551378,109.37613540120807
Primo Water Corporation Common Stock,0.00902053,0.9020530000000001,0.8484295744551378,109.37613540120807
"Champions Oncology, Inc. - Common Stock",0.0,0.0,0.8484295744551378,109.37613540120807
"Cohu, Inc. - Common Stock",0.006824095,0.6824095,0.8484295744551378,109.37613540120807
"Nuance Communications, Inc. - Common Stock",0.0,0.0,0.8484295744551378,109.37613540120807
"Maiden Holdings, Ltd. 6.625% Notes due 2046",0.009745247,0.9745247,0.8484295744551378,109.37613540120807
"Carter's, Inc. Common Stock",0.0,0.0,0.8484295744551378,109.37613540120807
"Wayside Technology Group, Inc. - Common Stock",0.005541789,0.5541789,0.8484295744551378,109.37613540120807
"Sunstone Hotel Investors, Inc. Sunstone Hotel Investors, Inc. Common Shares",0.011148962,1.1148962,0.8484295744551378,109.37613540120807
"Dillard's, Inc. Common Stock",0.0,0.0,0.8484295744551378,109.37613540120807
"South Jersey Industries, Inc. Common Stock",0.001819749,0.1819749,0.8484295744551378,109.37613540120807
iPath Pure Beta Crude Oil ETN,0.007823752,0.7823751999999999,0.8484295744551378,109.37613540120807
WEX Inc. common stock,0.012152176,1.2152176000000001,0.8484295744551378,109.37613540120807
Ducommun Incorporated Common Stock,0.011796838,1.1796838,0.8484295744551378,109.37613540120807
"Cboe Global Markets, Inc. Common Stock",0.0,0.0,0.8484295744551378,109.37613540120807
Vonage Holdings Corp. - Common Stock,0.04683047,4.683047,0.8484295744551378,109.37613540120807
Barclays PLC Common Stock,0.000308744,0.0308744,0.8484295744551378,109.37613540120807
Biglari Holdings Inc. Class B Common Stock,0.00020329,0.020329,0.8484295744551378,109.37613540120807
Deutsche Bk Contingent Cap TR II Tr Pfd Sec,0.013329911,1.3329911,0.8484295744551378,109.37613540120807
"Alaska Air Group, Inc. Common Stock",0.004171535,0.41715349999999995,0.8484295744551378,109.37613540120807
Kennedy-Wilson Holdings Inc. Common Stock,0.004433019,0.44330189999999997,0.8484295744551378,109.37613540120807
"Copart, Inc. - Common Stock",0.098336851,9.8336851,0.8484295744551378,109.37613540120807
"Marten Transport, Ltd. - Common Stock",0.0,0.0,0.8484295744551378,109.37613540120807
Xinyuan Real Estate Co Ltd American Depositary Shares,0.00323103,0.32310300000000003,0.8484295744551378,109.37613540120807
ORBCOMM Inc. - Common Stock,5.42e-06,0.000542,0.8484295744551378,109.37613540120807
AGNC Investment Corp. - Common Stock,0.00260928,0.260928,0.8484295744551378,109.37613540120807
"Zillow Group, Inc. - Class A Common Stock",0.0,0.0,0.8484295744551378,109.37613540120807
Ion Geophysical Corporation Common Stock,0.001496692,0.1496692,0.8484295744551378,109.37613540120807
Nuveen Missouri Quality Municipal Income Fund ,6.9201e-05,0.0069201,0.8484295744551378,109.37613540120807
"Computer Task Group, Incorporated - Common Stock",0.011624985,1.1624984999999999,0.8484295744551378,109.37613540120807
"Voya Financial, Inc. Common Stock",0.005753065,0.5753064999999999,0.8484295744551378,109.37613540120807
Icahn Enterprises L.P. - Depositary units,0.0,0.0,0.8484295744551378,109.37613540120807
Extra Space Storage Inc Common Stock,0.014099915,1.4099914999999998,0.8484295744551378,109.37613540120807
"Theravance Biopharma, Inc. - Ordinary Shares",0.0,0.0,0.8484295744551378,109.37613540120807
Friedman Industries Inc. Common Stock,0.000975652,0.0975652,0.8484295744551378,109.37613540120807
Radcom Ltd. - Ordinary Shares,0.00442666,0.442666,0.8484295744551378,109.37613540120807
"Littelfuse, Inc. - Common Stock",0.017611751,1.7611750999999998,0.8484295744551378,109.37613540120807
