Company,Weight,Percentage,Sharpe Ratio,Annual Return
Kimco Realty Corporation Common Stock,2.8518e-05,0.0028518,0.8127023614193044,108.52305272942536
"Kirkland's, Inc. - Common Stock",0.002094362,0.2094362,0.8127023614193044,108.52305272942536
Stepan Company Common Stock,0.003189305,0.3189305,0.8127023614193044,108.52305272942536
"Watts Water Technologies, Inc. Class A Common Stock",0.0,0.0,0.8127023614193044,108.52305272942536
"Lifetime Brands, Inc. - Common Stock",0.001187909,0.1187909,0.8127023614193044,108.52305272942536
"Dave & Buster's Entertainment, Inc. - Common Stock",0.004218967,0.42189669999999996,0.8127023614193044,108.52305272942536
"PolarityTE, Inc. - Common Stock",0.000999629,0.0999629,0.8127023614193044,108.52305272942536
Fluidigm Corporation - Common Stock,0.00127612,0.127612,0.8127023614193044,108.52305272942536
IRSA Propiedades Comerciales S.A. - American Depository Shares,0.011223236,1.1223235999999999,0.8127023614193044,108.52305272942536
"SPS Commerce, Inc. - Common Stock",0.012314857,1.2314857000000001,0.8127023614193044,108.52305272942536
"Lexicon Pharmaceuticals, Inc. - Common Stock",0.011117586,1.1117586000000002,0.8127023614193044,108.52305272942536
"Donegal Group, Inc. - Class B Common Stock",0.002431395,0.24313949999999998,0.8127023614193044,108.52305272942536
"Shiloh Industries, Inc. - Common Stock",0.00508049,0.508049,0.8127023614193044,108.52305272942536
"DB Gold Double Long ETN due February 15, 2038",0.011172534,1.1172534,0.8127023614193044,108.52305272942536
Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,0.016318131,1.6318131,0.8127023614193044,108.52305272942536
"OSI Systems, Inc. - Common Stock",0.01124624,1.1246239999999998,0.8127023614193044,108.52305272942536
UNIVERSAL INSURANCE HOLDINGS INC Common Stock,0.005713653,0.5713653,0.8127023614193044,108.52305272942536
Lincoln Educational Services Corporation - Common Stock,0.0,0.0,0.8127023614193044,108.52305272942536
"Aerie Pharmaceuticals, Inc. - Common Stock",0.012963716,1.2963716,0.8127023614193044,108.52305272942536
"Independence Realty Trust, Inc. Common Stock",0.010680494,1.0680494,0.8127023614193044,108.52305272942536
"Blackstone Mortgage Trust, Inc. Common Stock",0.010091461,1.0091461,0.8127023614193044,108.52305272942536
"Entergy Mississippi, LLC First Mortgage Bonds, 4.90% Series Due October 1, 2066",0.098137734,9.8137734,0.8127023614193044,108.52305272942536
"ServiceMaster Global Holdings, Inc. Common Stock",0.012273727,1.2273727,0.8127023614193044,108.52305272942536
American Equity Investment Life Holding Company Common Stock,0.006489885,0.6489885,0.8127023614193044,108.52305272942536
"Manitex International, Inc. - common stock",0.000235791,0.023579100000000002,0.8127023614193044,108.52305272942536
Primo Water Corporation Common Stock,0.0036538,0.36538,0.8127023614193044,108.52305272942536
"Champions Oncology, Inc. - Common Stock",4.891e-06,0.0004891,0.8127023614193044,108.52305272942536
"Cohu, Inc. - Common Stock",0.005003171,0.5003171,0.8127023614193044,108.52305272942536
"Nuance Communications, Inc. - Common Stock",0.0,0.0,0.8127023614193044,108.52305272942536
"Maiden Holdings, Ltd. 6.625% Notes due 2046",0.003789213,0.3789213,0.8127023614193044,108.52305272942536
"Carter's, Inc. Common Stock",0.012668859,1.2668859,0.8127023614193044,108.52305272942536
"Wayside Technology Group, Inc. - Common Stock",0.007385836,0.7385836,0.8127023614193044,108.52305272942536
"Sunstone Hotel Investors, Inc. Sunstone Hotel Investors, Inc. Common Shares",0.00495564,0.495564,0.8127023614193044,108.52305272942536
"Dillard's, Inc. Common Stock",0.011297121,1.1297121,0.8127023614193044,108.52305272942536
"South Jersey Industries, Inc. Common Stock",0.000821176,0.0821176,0.8127023614193044,108.52305272942536
iPath Pure Beta Crude Oil ETN,0.000989543,0.09895430000000001,0.8127023614193044,108.52305272942536
WEX Inc. common stock,0.011508137,1.1508137,0.8127023614193044,108.52305272942536
Ducommun Incorporated Common Stock,0.0037158,0.37158,0.8127023614193044,108.52305272942536
"Cboe Global Markets, Inc. Common Stock",0.022121289,2.2121288999999997,0.8127023614193044,108.52305272942536
Vonage Holdings Corp. - Common Stock,0.005515108,0.5515108000000001,0.8127023614193044,108.52305272942536
Barclays PLC Common Stock,0.002116822,0.2116822,0.8127023614193044,108.52305272942536
