Company,Weight,Percentage
"AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",0.0,0.0
"Cisco Systems, Inc. - Common Stock",0.036630139,3.6630138999999997
"Primerica, Inc. Common Stock",0.0,0.0
Nuveen Municipal Credit Income Fund ,0.093046095,9.3046095
Unit Corporation Common Stock,0.0,0.0
"HubSpot, Inc. Common Stock",0.041207771,4.1207771
Great Panther Mining Limited Ordinary Shares (Canada),0.010634961,1.0634961
"Sinclair Broadcast Group, Inc. - Class A Common Stock",0.0,0.0
"United Fire Group, Inc - Common Stock",0.019380757,1.9380756999999997
AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index - Metals Total Return Structured Product,8.46e-06,0.0008460000000000001
"Guaranty Federal Bancshares, Inc. - Common Stock",0.004629264,0.4629264
"Air T, Inc. - Common Stock",0.026593964,2.6593964000000003
SITE Centers Corp. Common Stock,0.004193221,0.4193221
Nuveen New York Select Tax-Free Income Portfolio Common Stock,0.003102375,0.3102375
BlackRock New York Municipal Income Trust,0.0,0.0
"Regional Health Properties, Inc. Common Stock",0.0,0.0
"Innovative Solutions and Support, Inc. - Common Stock",0.080162618,8.0162618
"Kandi Technologies Group, Inc. - Common Stock",0.0,0.0
Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,0.020253724,2.0253724
"Transcat, Inc. - Common Stock",0.060678116,6.0678116
Carolina Financial Corporation - Common Stock,0.025889886,2.5889886
"Natuzzi, S.p.A.",0.0,0.0
"Advanced Energy Industries, Inc. - Common Stock",0.018186153,1.8186153
"United Airlines Holdings, Inc. - Common Stock",0.013363444,1.3363444
"T. Rowe Price Group, Inc. - Common Stock",0.006542403,0.6542403
"Intuitive Surgical, Inc. - Common Stock",0.096940007,9.6940007
"EastGroup Properties, Inc. Common Stock",0.06010731,6.010731
Ellington Financial Inc. Common Stock ,0.032217541,3.2217541
"NVR, Inc. Common Stock",0.045234398,4.5234398
"Frequency Electronics, Inc. - Common Stock",0.040230306,4.0230306
"Worthington Industries, Inc. Common Stock",0.0,0.0
Perrigo Company plc Ordinary Shares,0.0,0.0
"Lincoln Electric Holdings, Inc. - Common Shares",0.019177021,1.9177020999999999
RPT Realty Common Stock,0.014239708,1.4239708
"Veracyte, Inc. - Common Stock",0.068153783,6.8153783
"USA Compression Partners, LP Common Units Representing Limited Partner Interests",0.009264018,0.9264018
Cohen & Company Inc.,0.0,0.0
Neuberger Berman California Municipal Fund Inc Common Stock,0.0,0.0
"Douglas Dynamics, Inc. Common Stock",0.02336214,2.336214
Pivotal Investment Corporation II Class A Common Stock,0.079775998,7.9775998
"PRGX Global, Inc. - Common Stock",0.006458947,0.6458946999999999
Enerplus Corporation Common Stock,0.009798517,0.9798517
"India Fund, Inc. (The) Common Stock",0.0,0.0
Koninklijke Philips N.V. NY Registry Shares,0.0,0.0
UNIVERSAL INSURANCE HOLDINGS INC Common Stock,0.0,0.0
Anheuser-Busch Inbev SA Sponsored ADR (Belgium),0.0,0.0
Orrstown Financial Services Inc - Common Stock,0.0,0.0
PIMCO Income Strategy Fund Shares of Beneficial Interest,0.029417352,2.9417352
Precision Drilling Corporation Common Stock,0.001119604,0.1119604
"Orion Energy Systems, Inc. - Common Stock",0.0,0.0
