Company,Weight,Percentage,Sharpe Ratio,Annual Return
"AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",0.0,0.0,0.7092160196301165,243.99531758732132
"Cisco Systems, Inc. - Common Stock",0.036630139,3.6630138999999997,0.7092160196301165,243.99531758732132
"Primerica, Inc. Common Stock",0.0,0.0,0.7092160196301165,243.99531758732132
Nuveen Municipal Credit Income Fund ,0.093046095,9.3046095,0.7092160196301165,243.99531758732132
Unit Corporation Common Stock,0.0,0.0,0.7092160196301165,243.99531758732132
"HubSpot, Inc. Common Stock",0.041207771,4.1207771,0.7092160196301165,243.99531758732132
Great Panther Mining Limited Ordinary Shares (Canada),0.010634961,1.0634961,0.7092160196301165,243.99531758732132
"Sinclair Broadcast Group, Inc. - Class A Common Stock",0.0,0.0,0.7092160196301165,243.99531758732132
"United Fire Group, Inc - Common Stock",0.019380757,1.9380756999999997,0.7092160196301165,243.99531758732132
AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index - Metals Total Return Structured Product,8.46e-06,0.0008460000000000001,0.7092160196301165,243.99531758732132
"Guaranty Federal Bancshares, Inc. - Common Stock",0.004629264,0.4629264,0.7092160196301165,243.99531758732132
"Air T, Inc. - Common Stock",0.026593964,2.6593964000000003,0.7092160196301165,243.99531758732132
SITE Centers Corp. Common Stock,0.004193221,0.4193221,0.7092160196301165,243.99531758732132
Nuveen New York Select Tax-Free Income Portfolio Common Stock,0.003102375,0.3102375,0.7092160196301165,243.99531758732132
BlackRock New York Municipal Income Trust,0.0,0.0,0.7092160196301165,243.99531758732132
"Regional Health Properties, Inc. Common Stock",0.0,0.0,0.7092160196301165,243.99531758732132
"Innovative Solutions and Support, Inc. - Common Stock",0.080162618,8.0162618,0.7092160196301165,243.99531758732132
"Kandi Technologies Group, Inc. - Common Stock",0.0,0.0,0.7092160196301165,243.99531758732132
Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,0.020253724,2.0253724,0.7092160196301165,243.99531758732132
"Transcat, Inc. - Common Stock",0.060678116,6.0678116,0.7092160196301165,243.99531758732132
Carolina Financial Corporation - Common Stock,0.025889886,2.5889886,0.7092160196301165,243.99531758732132
"Natuzzi, S.p.A.",0.0,0.0,0.7092160196301165,243.99531758732132
"Advanced Energy Industries, Inc. - Common Stock",0.018186153,1.8186153,0.7092160196301165,243.99531758732132
"United Airlines Holdings, Inc. - Common Stock",0.013363444,1.3363444,0.7092160196301165,243.99531758732132
"T. Rowe Price Group, Inc. - Common Stock",0.006542403,0.6542403,0.7092160196301165,243.99531758732132
"Intuitive Surgical, Inc. - Common Stock",0.096940007,9.6940007,0.7092160196301165,243.99531758732132
"EastGroup Properties, Inc. Common Stock",0.06010731,6.010731,0.7092160196301165,243.99531758732132
Ellington Financial Inc. Common Stock ,0.032217541,3.2217541,0.7092160196301165,243.99531758732132
"NVR, Inc. Common Stock",0.045234398,4.5234398,0.7092160196301165,243.99531758732132
"Frequency Electronics, Inc. - Common Stock",0.040230306,4.0230306,0.7092160196301165,243.99531758732132
"Worthington Industries, Inc. Common Stock",0.0,0.0,0.7092160196301165,243.99531758732132
Perrigo Company plc Ordinary Shares,0.0,0.0,0.7092160196301165,243.99531758732132
"Lincoln Electric Holdings, Inc. - Common Shares",0.019177021,1.9177020999999999,0.7092160196301165,243.99531758732132
RPT Realty Common Stock,0.014239708,1.4239708,0.7092160196301165,243.99531758732132
"Veracyte, Inc. - Common Stock",0.068153783,6.8153783,0.7092160196301165,243.99531758732132
"USA Compression Partners, LP Common Units Representing Limited Partner Interests",0.009264018,0.9264018,0.7092160196301165,243.99531758732132
Cohen & Company Inc.,0.0,0.0,0.7092160196301165,243.99531758732132
Neuberger Berman California Municipal Fund Inc Common Stock,0.0,0.0,0.7092160196301165,243.99531758732132
"Douglas Dynamics, Inc. Common Stock",0.02336214,2.336214,0.7092160196301165,243.99531758732132
Pivotal Investment Corporation II Class A Common Stock,0.079775998,7.9775998,0.7092160196301165,243.99531758732132
"PRGX Global, Inc. - Common Stock",0.006458947,0.6458946999999999,0.7092160196301165,243.99531758732132
Enerplus Corporation Common Stock,0.009798517,0.9798517,0.7092160196301165,243.99531758732132
"India Fund, Inc. (The) Common Stock",0.0,0.0,0.7092160196301165,243.99531758732132
Koninklijke Philips N.V. NY Registry Shares,0.0,0.0,0.7092160196301165,243.99531758732132
UNIVERSAL INSURANCE HOLDINGS INC Common Stock,0.0,0.0,0.7092160196301165,243.99531758732132
Anheuser-Busch Inbev SA Sponsored ADR (Belgium),0.0,0.0,0.7092160196301165,243.99531758732132
Orrstown Financial Services Inc - Common Stock,0.0,0.0,0.7092160196301165,243.99531758732132
PIMCO Income Strategy Fund Shares of Beneficial Interest,0.029417352,2.9417352,0.7092160196301165,243.99531758732132
Precision Drilling Corporation Common Stock,0.001119604,0.1119604,0.7092160196301165,243.99531758732132
"Orion Energy Systems, Inc. - Common Stock",0.0,0.0,0.7092160196301165,243.99531758732132
