algorithm,repair_method,mean_sharpe,std_sharpe,mean_return,mean_time,mean_generations,pop_size,mutation_rate,gaussian_stdev,num_elites,max_generations,swarm_size,max_iterations,w,c1,c2
GA,,0.6965060564697363,0.012585094216371781,5.046817980944719,36.35092945098877,51.0,50.0,0.01,0.05,5.0,50.0,,,,,
GA,,1.2871004879383787,0.05584183077839697,828.9785883627355,37.08816113471985,51.0,50.0,0.01,0.05,1.0,50.0,,,,,
GA,,0.6051413153533995,0.013588681491657822,30.991978673527463,37.95980429649353,51.0,50.0,0.01,0.01,5.0,50.0,,,,,
GA,,0.6318367903920231,0.020578425181322933,2.2330139876838055,38.1555871963501,51.0,50.0,0.01,0.01,2.0,50.0,,,,,
GA,,0.7943501232245535,0.01321234859839039,277.14018091839307,38.29450516700744,51.0,50.0,0.01,0.05,2.0,50.0,,,,,
GA,,1.0261661090831686,0.015250969774714964,9115.667400114884,38.33998699188233,101.0,50.0,0.01,0.01,5.0,100.0,,,,,
GA,,0.6188635383575285,0.02156581581942274,17.01736741390026,38.705955839157106,51.0,50.0,0.01,0.01,1.0,50.0,,,,,
GA,,0.7516341582946513,0.017273181734112,36.24193570057713,39.22620162963867,101.0,50.0,0.01,0.01,1.0,100.0,,,,,
GA,,1.2271017850347898,0.02571321258967473,1661.955165488645,39.34081382751465,101.0,50.0,0.01,0.05,2.0,100.0,,,,,
GA,,1.0936829557885859,0.028567792166055334,129695.30593738353,40.05048365592957,101.0,50.0,0.01,0.01,2.0,100.0,,,,,
GA,,0.755210605381347,0.01489636197046661,55.02439696875975,40.18514523506165,101.0,50.0,0.01,0.05,1.0,100.0,,,,,
GA,,1.2210400070967853,0.033125596008570596,32549.0989474225,40.101893997192384,101.0,50.0,0.01,0.05,5.0,100.0,,,,,
GA,,0.5213397335456322,0.02245681821036403,3.520056404553806,21.700654458999633,51.0,50.0,0.01,0.1,1.0,50.0,,,,,
GA,,0.5372433998344318,0.017626189392473048,59.90761914199544,21.4037269115448,51.0,50.0,0.01,0.1,2.0,50.0,,,,,
GA,,0.7944653597447027,0.022679160855923666,304.1090863088994,21.99779944419861,51.0,50.0,0.01,0.1,5.0,50.0,,,,,
GA,,1.2600687841406717,0.059584962671096586,829.8033885825113,23.457084321975707,101.0,50.0,0.01,0.1,1.0,100.0,,,,,
GA,,0.5709697869858661,0.028238362281679183,12.50702504778865,22.29316864013672,51.0,50.0,0.05,0.01,1.0,50.0,,,,,
GA,,1.0524022387595313,0.019828614996567646,1208.770273738946,21.93585228919983,51.0,50.0,0.05,0.01,2.0,50.0,,,,,
GA,,0.6380035057134581,0.014733471266957987,42.490780018792385,22.154949188232422,51.0,50.0,0.05,0.01,5.0,50.0,,,,,
GA,,0.6721996485159872,0.026054874148797133,7.723297005470529,24.62179379463196,101.0,50.0,0.01,0.1,2.0,100.0,,,,,
GA,,1.0243721255092049,0.014287433835255386,8789.301663320211,24.774990224838255,101.0,50.0,0.01,0.1,5.0,100.0,,,,,
GA,,0.6367904962012929,0.018058786252736277,35.47945117136894,24.664587545394898,101.0,50.0,0.05,0.01,1.0,100.0,,,,,
GA,,1.1265851677787184,0.023386235899382334,32666.44190865081,25.000330924987793,101.0,50.0,0.05,0.01,5.0,100.0,,,,,
GA,,0.9652071907020148,0.025103354505992322,124077.2307794987,26.250902318954466,101.0,50.0,0.05,0.01,2.0,100.0,,,,,
GA,,0.47360412495014026,0.011695293490392325,2.45922201382403,23.785313415527344,51.0,50.0,0.05,0.05,1.0,50.0,,,,,
GA,,0.6106609421326972,0.01746821186769184,17.765366822885582,22.84889121055603,51.0,50.0,0.05,0.05,5.0,50.0,,,,,
GA,,0.5021257306886378,0.014721234999569954,7.202037479033601,25.392110300064086,101.0,50.0,0.05,0.05,1.0,100.0,,,,,
GA,,1.12468915863725,0.056922835869649795,641.6683749418569,25.20174298286438,101.0,50.0,0.05,0.05,2.0,100.0,,,,,
GA,,1.1023468291470784,0.024872951530561918,1675.5805824549116,24.425774335861206,101.0,50.0,0.05,0.05,5.0,100.0,,,,,
GA,,0.6372384627318588,0.022907514367758494,276.04707016045137,25.674990129470824,51.0,50.0,0.05,0.05,2.0,50.0,,,,,
GA,,0.46306144662005694,0.017140450812098966,49.31055011933205,24.130031490325926,51.0,50.0,0.05,0.1,1.0,50.0,,,,,
GA,,0.593495468379609,0.03874570503057165,5854.797216434843,23.565051317214966,51.0,50.0,0.05,0.1,2.0,50.0,,,,,
GA,,0.4725500324758567,0.019544342299709007,2.896473382821733,24.976655960083008,101.0,50.0,0.05,0.1,1.0,100.0,,,,,
GA,,0.7349312632989248,0.03014570338580364,25431.26943925379,22.786325025558472,51.0,50.0,0.05,0.1,5.0,50.0,,,,,
GA,,0.5171583144219781,0.010959387056519488,29.315923209663744,24.676155948638915,101.0,50.0,0.05,0.1,2.0,100.0,,,,,
GA,,0.8084091319402835,0.025902055200076372,99699.62432225548,24.370704174041748,101.0,50.0,0.05,0.1,5.0,100.0,,,,,
GA,,0.4568684838881281,0.00575293134736275,6.285611183264339,20.50288062095642,51.0,50.0,0.1,0.01,1.0,50.0,,,,,
GA,,0.4726566163294036,0.011100548842810061,26.346866413981054,20.77256326675415,51.0,50.0,0.1,0.01,2.0,50.0,,,,,
GA,,1.019683477093155,0.028193416064957722,1177.7144119686209,20.605870389938353,51.0,50.0,0.1,0.01,5.0,50.0,,,,,
GA,,0.5221466786995878,0.009331914116183112,10.812473310724192,23.16617908477783,101.0,50.0,0.1,0.01,1.0,100.0,,,,,
