algorithm,repair_method,mean_sharpe,std_sharpe,mean_return,mean_time,mean_generations,pop_size,mutation_rate,gaussian_stdev,num_elites,max_generations,swarm_size,max_iterations,w,c1,c2
GA,,0.6956406175659001,0.011638328501222458,55.5783673086847,42.338351249694824,51.0,200.0,0.01,0.05,5.0,50.0,,,,,
GA,,1.0904579156517058,0.019702975981165095,9185.914493482243,42.5549644947052,51.0,200.0,0.01,0.01,2.0,50.0,,,,,
GA,,0.9656635314456509,0.011990196842753882,312.48083712216555,42.77354454994202,51.0,200.0,0.01,0.05,1.0,50.0,,,,,
GA,,0.9572688568007823,0.0234056325715453,150936.9085596213,43.0072546005249,51.0,200.0,0.01,0.01,5.0,50.0,,,,,
GA,,0.8387531172765362,0.016876779543273344,276.6598940094058,44.051241111755374,51.0,200.0,0.01,0.01,1.0,50.0,,,,,
GA,,0.6874319047554436,0.01896636736571686,3.9212017141258633,44.59771542549133,51.0,200.0,0.01,0.05,2.0,50.0,,,,,
GA,,0.8393674219079079,0.012071740011784453,272.909594647058,51.36973819732666,101.0,200.0,0.01,0.05,1.0,100.0,,,,,
GA,,1.1729706531411357,0.004777328629667122,823.1081734469508,54.067036390304565,101.0,200.0,0.01,0.05,2.0,100.0,,,,,
GA,,0.8407474616463464,0.008387075460903106,1.381542207796482,55.05285940170288,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,,0.9685213380924029,0.0132221305459156,1046.3296671211135,56.649366807937625,101.0,200.0,0.01,0.05,5.0,100.0,,,,,
GA,,0.7849933894662908,0.011273065342863375,1393.5980464873871,57.0063090801239,101.0,200.0,0.01,0.01,2.0,100.0,,,,,
GA,,0.9327563951432036,0.007105307948087804,157484.36609110082,57.11649565696716,101.0,200.0,0.01,0.01,1.0,100.0,,,,,
GA,,0.564457345771603,0.014628680030356802,107.84859308487528,33.230455589294436,51.0,200.0,0.01,0.1,1.0,50.0,,,,,
GA,,0.899530958767313,0.01964801547547339,253.91598894472781,34.87743544578552,51.0,200.0,0.01,0.1,2.0,50.0,,,,,
GA,,0.7732233167269688,0.021565074701027094,246.96401823010342,33.955820894241334,51.0,200.0,0.01,0.1,5.0,50.0,,,,,
GA,,0.7205793678048783,0.007786821997014948,281.65276209637784,34.42249774932861,51.0,200.0,0.05,0.01,1.0,50.0,,,,,
GA,,0.9400305620504671,0.02228688421621519,9551.657831010503,44.673071241378786,101.0,200.0,0.01,0.1,1.0,100.0,,,,,
GA,,0.8504430770210021,0.02828636552069405,151326.51765347616,45.06551160812378,101.0,200.0,0.01,0.1,2.0,100.0,,,,,
GA,,0.6384245795902919,0.011438897774223933,0.6215547861150623,33.281073045730594,51.0,200.0,0.05,0.01,2.0,50.0,,,,,
GA,,0.7206977686801298,0.014968950097416186,6.437842460690516,44.801086616516116,101.0,200.0,0.01,0.1,5.0,100.0,,,,,
GA,,0.6529117302332976,0.00705360054646887,1169.4772877886394,35.46145539283752,51.0,200.0,0.05,0.01,5.0,50.0,,,,,
GA,,1.0874470852033233,0.00913786024070358,837.6462664780677,44.68675088882446,101.0,200.0,0.05,0.01,1.0,100.0,,,,,
GA,,0.8553746610398235,0.00532652173035596,1079.4459816784452,44.93648171424866,101.0,200.0,0.05,0.01,2.0,100.0,,,,,
GA,,0.8418187726122923,0.011592546424726005,156037.91836196877,46.46427431106567,101.0,200.0,0.05,0.01,5.0,100.0,,,,,
GA,,0.5428236063983748,0.008086655728669343,22.43013221023034,33.50894289016723,51.0,200.0,0.05,0.05,1.0,50.0,,,,,
GA,,0.6456871521819935,0.019852879501596237,179.2732448299513,33.92688884735107,51.0,200.0,0.05,0.05,2.0,50.0,,,,,
GA,,0.872729206557749,0.026017472708295814,6551.101990002617,33.844405841827395,51.0,200.0,0.05,0.05,5.0,50.0,,,,,
GA,,0.8061617998986652,0.017926919574256708,292.20025978505043,44.1599362373352,101.0,200.0,0.05,0.05,1.0,100.0,,,,,
GA,,0.4704554563405674,0.03039564749266466,0.6313313663185626,33.7748544216156,51.0,200.0,0.05,0.1,1.0,50.0,,,,,
GA,,0.5165468580963954,0.026654289038147053,468.7549490840544,32.59993567466736,51.0,200.0,0.05,0.1,2.0,50.0,,,,,
GA,,0.6798482367923292,0.03181481211554443,224.16832655640692,44.95449023246765,101.0,200.0,0.05,0.05,2.0,100.0,,,,,
GA,,0.8298669047121496,0.01884819966469391,149293.56016268858,45.52739682197571,101.0,200.0,0.05,0.05,5.0,100.0,,,,,
GA,,0.4951946314339565,0.015350910675372009,33.47192444293145,45.07886257171631,101.0,200.0,0.05,0.1,1.0,100.0,,,,,
GA,,0.6893410498832224,0.03560765514765448,985.0421753304254,34.8079930305481,51.0,200.0,0.05,0.1,5.0,50.0,,,,,
GA,,0.9048469722081249,0.03541549619213186,665.9048922351482,44.347703790664674,101.0,200.0,0.05,0.1,2.0,100.0,,,,,
GA,,0.5563310616827019,0.013352990457938365,50.70539000049662,34.96802282333374,51.0,200.0,0.1,0.01,1.0,50.0,,,,,
GA,,0.6644812023065578,0.016065980449416463,154882.31854720856,46.210710525512695,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,,0.8942641712352402,0.02851195854230274,9685.976810818243,32.63989329338074,51.0,200.0,0.1,0.01,2.0,50.0,,,,,
GA,,0.6775082224507537,0.015017426775116232,242.3497674904425,45.152021646499634,101.0,200.0,0.1,0.01,1.0,100.0,,,,,
GA,,0.5784590685649065,0.01334248322761571,0.42053785329172105,35.53121962547302,51.0,200.0,0.1,0.01,5.0,50.0,,,,,
GA,,0.5940153887555708,0.019563524107614777,191.1068125691814,34.18530216217041,51.0,200.0,0.1,0.05,1.0,50.0,,,,,
GA,,0.5141031399263323,0.014614007377505896,13.716303716110056,33.71578345298767,51.0,200.0,0.1,0.05,2.0,50.0,,,,,
GA,,0.8920145648037554,0.015143519405621838,365.6738186376158,46.75213985443115,101.0,200.0,0.1,0.01,2.0,100.0,,,,,
GA,,0.6290432433465137,0.010467781733668797,1131.791071154549,46.89945883750916,101.0,200.0,0.1,0.01,5.0,100.0,,,,,
GA,,0.9055857092834833,0.03741719301287927,651.0493371520221,33.75515213012695,51.0,200.0,0.1,0.05,5.0,50.0,,,,,
GA,,0.7302777399059925,0.032266440384780985,137872.4158012774,46.94579887390137,101.0,200.0,0.1,0.05,1.0,100.0,,,,,
GA,,0.6967982415252489,0.011214605290998204,936.8844119802789,46.107195663452146,101.0,200.0,0.1,0.05,2.0,100.0,,,,,
GA,,0.6131810550517518,0.0365701550153867,145096.37871001582,34.70006637573242,51.0,200.0,0.1,0.1,1.0,50.0,,,,,
GA,,0.5382407639680776,0.02200226020490705,28.14194386110666,47.09372687339783,101.0,200.0,0.1,0.05,5.0,100.0,,,,,
GA,,0.5665397811701534,0.016289912834561535,149.5242094055552,34.62792468070984,51.0,200.0,0.1,0.1,2.0,50.0,,,,,
GA,,0.6174426859585059,0.022392454051686862,249.45729240870577,34.12311973571777,51.0,200.0,0.1,0.1,5.0,50.0,,,,,
GA,,0.76850291139293,0.0393462894396572,5578.858431731418,47.22590570449829,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,,1.0231962344098613,0.02015163363648257,516.5743273703786,33.65086588859558,51.0,200.0,0.01,0.01,1.0,50.0,,,,,
