Generation,Mean Diversity,Std Diversity
0,0.0028822262624860905,9.154055947015611e-06
1,0.002140913402579927,3.108205266713449e-05
2,0.0022038531756722645,6.504695297564635e-05
3,0.0018978279986227493,6.208924068475223e-05
4,0.00176159716100593,0.00012751131946949707
5,0.0015870653162433314,0.00010707931242123444
6,0.0014461367924917346,0.00010799378607438028
7,0.0013512248603907951,0.00013637175102822977
8,0.001309685583488616,0.00025320420367149133
9,0.001300733369826422,0.0003704260269226814
10,0.0013598265444924552,0.00047323803288234844
11,0.0014641167591264337,0.0005871614374375396
12,0.0015805114029502118,0.0006628168015510672
13,0.0017175125047112925,0.0007725806327527795
14,0.0018489817225888269,0.0008693724614600445
15,0.0020613325512431964,0.0009531009187305741
16,0.002299684610788039,0.0010894934144906937
17,0.002595727460667185,0.001216324876421504
18,0.002894175293073378,0.0013508247532455677
19,0.003169225467762002,0.0014311170078275485
20,0.003565232171081365,0.001545599120184073
21,0.003947654586730341,0.001677195732625046
22,0.004355896646163162,0.0018326825975049739
23,0.0047722784068662165,0.0019510619111897576
24,0.0051240339081553374,0.002040415820977365
25,0.005539195065514117,0.00218551631156657
26,0.005935531199587231,0.002274257725221889
27,0.00635861947701627,0.0023331901758164883
28,0.006787642038051023,0.0023869329101206273
29,0.007101702173626507,0.002432331746364955
30,0.007425637272196788,0.002457473991089831
31,0.007766912848469303,0.0025206352918885123
32,0.008055057505734499,0.0025492306034630556
33,0.00843495734880354,0.0026258061142079535
34,0.008883365849595521,0.002778114333171295
35,0.009225484448510084,0.0029862591311020604
36,0.009545260499497806,0.0031941663655236695
37,0.009784427134377365,0.003210123249362123
38,0.0100350714812407,0.0033693100615073764
39,0.01035498182902978,0.003507142267077951
40,0.010612128956835871,0.0035146448680796177
41,0.010779682728794189,0.0036072274867913466
42,0.011086315588461204,0.0036922532266247822
43,0.01123647038654221,0.0036276129120408323
44,0.011376453602173318,0.003678752342417865
45,0.011659338341259791,0.0036963433603655164
46,0.011764861726791474,0.003604273670419937
47,0.011817338667422772,0.0036770383361265637
48,0.011961176509819461,0.0037984217192945594
49,0.01220033346717949,0.003892315116080463
50,0.012207131354421615,0.0038927727831359316
