Company,Weight,Percentage,Sharpe Ratio,Annual Return
"AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",0.006043005909568651,0.6043005909568651,1.1526513745547677,36625.9287512221
"Cisco Systems, Inc. - Common Stock",0.0028636505102637056,0.28636505102637055,1.1526513745547677,36625.9287512221
"Primerica, Inc. Common Stock",0.004635923890920727,0.46359238909207273,1.1526513745547677,36625.9287512221
Nuveen Municipal Credit Income Fund ,0.019290066827993172,1.9290066827993173,1.1526513745547677,36625.9287512221
Unit Corporation Common Stock,0.0,0.0,1.1526513745547677,36625.9287512221
"HubSpot, Inc. Common Stock",0.04371770617709,4.371770617709,1.1526513745547677,36625.9287512221
Great Panther Mining Limited Ordinary Shares (Canada),0.0017497297677065088,0.17497297677065088,1.1526513745547677,36625.9287512221
"Sinclair Broadcast Group, Inc. - Class A Common Stock",0.0022094621187599625,0.22094621187599625,1.1526513745547677,36625.9287512221
"United Fire Group, Inc - Common Stock",0.0018224238548558798,0.18224238548558797,1.1526513745547677,36625.9287512221
AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index - Metals Total Return Structured Product,0.0013301431708218256,0.13301431708218256,1.1526513745547677,36625.9287512221
"Guaranty Federal Bancshares, Inc. - Common Stock",0.005266262513395242,0.5266262513395242,1.1526513745547677,36625.9287512221
"Air T, Inc. - Common Stock",0.0034533637651332112,0.3453363765133211,1.1526513745547677,36625.9287512221
SITE Centers Corp. Common Stock,0.0002326735985639901,0.02326735985639901,1.1526513745547677,36625.9287512221
Nuveen New York Select Tax-Free Income Portfolio Common Stock,0.0002193706298747142,0.021937062987471417,1.1526513745547677,36625.9287512221
BlackRock New York Municipal Income Trust,0.001743955102711722,0.1743955102711722,1.1526513745547677,36625.9287512221
"Regional Health Properties, Inc. Common Stock",0.003387774892937785,0.3387774892937785,1.1526513745547677,36625.9287512221
"Innovative Solutions and Support, Inc. - Common Stock",0.007596333949831662,0.7596333949831663,1.1526513745547677,36625.9287512221
"Kandi Technologies Group, Inc. - Common Stock",0.012293638111625945,1.2293638111625946,1.1526513745547677,36625.9287512221
Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,0.0001443232678479331,0.014432326784793309,1.1526513745547677,36625.9287512221
"Transcat, Inc. - Common Stock",0.0020046939987893673,0.20046939987893672,1.1526513745547677,36625.9287512221
Carolina Financial Corporation - Common Stock,0.009703021324711982,0.9703021324711982,1.1526513745547677,36625.9287512221
"Natuzzi, S.p.A.",0.00040211520660102007,0.04021152066010201,1.1526513745547677,36625.9287512221
"Advanced Energy Industries, Inc. - Common Stock",0.012682728461912417,1.2682728461912418,1.1526513745547677,36625.9287512221
"United Airlines Holdings, Inc. - Common Stock",0.001739190850655345,0.1739190850655345,1.1526513745547677,36625.9287512221
"T. Rowe Price Group, Inc. - Common Stock",0.0045220154806404475,0.4522015480640447,1.1526513745547677,36625.9287512221
"Intuitive Surgical, Inc. - Common Stock",0.02743976069407676,2.743976069407676,1.1526513745547677,36625.9287512221
"EastGroup Properties, Inc. Common Stock",0.01803760528354865,1.8037605283548652,1.1526513745547677,36625.9287512221
Ellington Financial Inc. Common Stock ,0.0019743033105518158,0.19743033105518157,1.1526513745547677,36625.9287512221
"NVR, Inc. Common Stock",0.004133701197370851,0.41337011973708504,1.1526513745547677,36625.9287512221
"Frequency Electronics, Inc. - Common Stock",0.002546973734340421,0.2546973734340421,1.1526513745547677,36625.9287512221
"Worthington Industries, Inc. Common Stock",0.004828330506509769,0.48283305065097687,1.1526513745547677,36625.9287512221
Perrigo Company plc Ordinary Shares,8.98613671103765e-05,0.00898613671103765,1.1526513745547677,36625.9287512221
"Lincoln Electric Holdings, Inc. - Common Shares",0.0011720555014379643,0.11720555014379642,1.1526513745547677,36625.9287512221
RPT Realty Common Stock,0.0006975101560577967,0.06975101560577968,1.1526513745547677,36625.9287512221
"Veracyte, Inc. - Common Stock",0.0013990059579399086,0.13990059579399086,1.1526513745547677,36625.9287512221
"USA Compression Partners, LP Common Units Representing Limited Partner Interests",0.008240909116630805,0.8240909116630805,1.1526513745547677,36625.9287512221
Cohen & Company Inc.,0.0,0.0,1.1526513745547677,36625.9287512221
Neuberger Berman California Municipal Fund Inc Common Stock,0.001357375250462992,0.1357375250462992,1.1526513745547677,36625.9287512221
"Douglas Dynamics, Inc. Common Stock",0.010997261416456463,1.0997261416456463,1.1526513745547677,36625.9287512221
Pivotal Investment Corporation II Class A Common Stock,0.0994464577707171,9.94464577707171,1.1526513745547677,36625.9287512221
"PRGX Global, Inc. - Common Stock",0.0,0.0,1.1526513745547677,36625.9287512221
Enerplus Corporation Common Stock,0.0006230543966699977,0.062305439666999765,1.1526513745547677,36625.9287512221
"India Fund, Inc. (The) Common Stock",0.000305868589983305,0.0305868589983305,1.1526513745547677,36625.9287512221
Koninklijke Philips N.V. NY Registry Shares,0.0019541840862017192,0.19541840862017193,1.1526513745547677,36625.9287512221
UNIVERSAL INSURANCE HOLDINGS INC Common Stock,0.01651830873631333,1.651830873631333,1.1526513745547677,36625.9287512221
Anheuser-Busch Inbev SA Sponsored ADR (Belgium),0.00028432083620795896,0.028432083620795894,1.1526513745547677,36625.9287512221
Orrstown Financial Services Inc - Common Stock,0.0,0.0,1.1526513745547677,36625.9287512221
PIMCO Income Strategy Fund Shares of Beneficial Interest,0.0018936052432631469,0.18936052432631467,1.1526513745547677,36625.9287512221
Precision Drilling Corporation Common Stock,0.0006653581849265384,0.06653581849265384,1.1526513745547677,36625.9287512221
"Orion Energy Systems, Inc. - Common Stock",0.0015449238639658066,0.15449238639658067,1.1526513745547677,36625.9287512221
"Ballard Power Systems, Inc. - Common Shares",0.0017021126164701173,0.17021126164701172,1.1526513745547677,36625.9287512221
"Northern Oil and Gas, Inc. Common Stock",0.0020060459048340533,0.20060459048340534,1.1526513745547677,36625.9287512221
Bluelinx Holdings Inc. Common Stock,0.0012093429666985272,0.12093429666985273,1.1526513745547677,36625.9287512221
DWS Strategic Municipal Income Trust,0.0011219651061102054,0.11219651061102054,1.1526513745547677,36625.9287512221
City Holding Company - Common Stock,0.00021117220113134216,0.021117220113134216,1.1526513745547677,36625.9287512221
Liberty Global plc - Class C Ordinary Shares,0.0,0.0,1.1526513745547677,36625.9287512221
"Spok Holdings, Inc. - Common Stock",0.00178113933849883,0.178113933849883,1.1526513745547677,36625.9287512221
Steel Partners Holdings LP LTD PARTNERSHIP UNIT,0.0,0.0,1.1526513745547677,36625.9287512221
"Tapestry, Inc. Common Stock",0.0012791120271931297,0.12791120271931297,1.1526513745547677,36625.9287512221
"TCW Strategic Income Fund, Inc. Common Stock",0.0,0.0,1.1526513745547677,36625.9287512221
Devon Energy Corporation Common Stock,0.001826383800874985,0.1826383800874985,1.1526513745547677,36625.9287512221
MGE Energy Inc. - Common Stock,0.0,0.0,1.1526513745547677,36625.9287512221
American Superconductor Corporation - Common Stock,0.0034404437949946787,0.34404437949946787,1.1526513745547677,36625.9287512221
"Servotronics, Inc. Common Stock",0.0005495087461165704,0.05495087461165704,1.1526513745547677,36625.9287512221
Columbia Seligman Premium Technology Growth Fund Inc,0.0,0.0,1.1526513745547677,36625.9287512221
Acceleron Pharma Inc. - Common Stock,0.0006269978105265592,0.06269978105265592,1.1526513745547677,36625.9287512221
"Stanley Black & Decker, Inc. Corporate Units",0.003950726733287497,0.3950726733287497,1.1526513745547677,36625.9287512221
"DTE Energy Company 2012 Series C 5.25% Junior Subordinate Debentures due December 1, 2062",0.0,0.0,1.1526513745547677,36625.9287512221
"SCYNEXIS, Inc. - Common Stock",0.0,0.0,1.1526513745547677,36625.9287512221
"Manning & Napier, Inc. Class A Common Stock",0.0,0.0,1.1526513745547677,36625.9287512221
"Amtech Systems, Inc. - Common Stock",0.003996718003853237,0.3996718003853237,1.1526513745547677,36625.9287512221
"Inspired Entertainment, Inc. - Common Stock",0.0029139667087112304,0.29139667087112303,1.1526513745547677,36625.9287512221
Service Properties Trust - Shares of Beneficial Interest,0.0015050742228547216,0.15050742228547215,1.1526513745547677,36625.9287512221
"DTF Tax-Free Income, Inc. Common Stock",0.0007669037759259037,0.07669037759259037,1.1526513745547677,36625.9287512221
Hanmi Financial Corporation - Common Stock,0.0012266632880205764,0.12266632880205763,1.1526513745547677,36625.9287512221
Crane Co. Common Stock,0.013448082081792288,1.3448082081792287,1.1526513745547677,36625.9287512221
"ADTRAN, Inc. - Common Stock",0.0001240133711937382,0.01240133711937382,1.1526513745547677,36625.9287512221
"Coffee Holding Co., Inc. - Common Stock",0.0021595584934245267,0.21595584934245268,1.1526513745547677,36625.9287512221
Sandstorm Gold Ltd. Ordinary Shares (Canada),0.0,0.0,1.1526513745547677,36625.9287512221
Daxor Corporation Common Stock,0.0005038761901852376,0.050387619018523754,1.1526513745547677,36625.9287512221
Crestwood Equity Partners LP,0.0007516021035681408,0.07516021035681408,1.1526513745547677,36625.9287512221
"Omega Flex, Inc. - Common Stock",0.0016543200714150403,0.16543200714150402,1.1526513745547677,36625.9287512221
DURECT Corporation - Common Stock,0.02488103126404101,2.488103126404101,1.1526513745547677,36625.9287512221
Antero Midstream Corporation Common Stock,0.0,0.0,1.1526513745547677,36625.9287512221
Wayfair Inc. Class A Common Stock,0.002499410192654395,0.24994101926543952,1.1526513745547677,36625.9287512221
Adams Diversified Equity Fund Inc.,0.0018252794286246561,0.18252794286246563,1.1526513745547677,36625.9287512221
"Blackrock MuniYield Quality Fund II, Inc. Common Stock",0.0,0.0,1.1526513745547677,36625.9287512221
Celanese Corporation Celanese Corporation Common Stock,0.0,0.0,1.1526513745547677,36625.9287512221
Astrotech Corporation - Common Stock,0.003007006940562174,0.3007006940562174,1.1526513745547677,36625.9287512221
Marathon Oil Corporation Common Stock,0.020402004145663302,2.04020041456633,1.1526513745547677,36625.9287512221
"DB Gold Double Short ETN due February 15, 2038",0.001313320251453181,0.1313320251453181,1.1526513745547677,36625.9287512221
"Hovnanian Enterprises, Inc. Class A Common Stock",7.919984574007343e-05,0.007919984574007343,1.1526513745547677,36625.9287512221
"Neurocrine Biosciences, Inc. - Common Stock",0.007351403888782648,0.7351403888782647,1.1526513745547677,36625.9287512221
