Company,Weight,Percentage,Sharpe Ratio,Annual Return
"AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",0.001312341754850551,0.13123417548505512,0.8106533762922836,25334.78642367796
"Cisco Systems, Inc. - Common Stock",0.0,0.0,0.8106533762922836,25334.78642367796
"Primerica, Inc. Common Stock",0.0,0.0,0.8106533762922836,25334.78642367796
Nuveen Municipal Credit Income Fund ,0.0003718977567105632,0.037189775671056316,0.8106533762922836,25334.78642367796
Unit Corporation Common Stock,3.6192131207317514e-05,0.0036192131207317514,0.8106533762922836,25334.78642367796
"HubSpot, Inc. Common Stock",0.0,0.0,0.8106533762922836,25334.78642367796
Great Panther Mining Limited Ordinary Shares (Canada),3.97502127233597e-06,0.00039750212723359697,0.8106533762922836,25334.78642367796
"Sinclair Broadcast Group, Inc. - Class A Common Stock",7.717212700408048e-07,7.717212700408048e-05,0.8106533762922836,25334.78642367796
"United Fire Group, Inc - Common Stock",6.611334964643796e-08,6.611334964643796e-06,0.8106533762922836,25334.78642367796
AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index - Metals Total Return Structured Product,2.982469406902685e-06,0.0002982469406902685,0.8106533762922836,25334.78642367796
"Guaranty Federal Bancshares, Inc. - Common Stock",0.04757598363077257,4.757598363077257,0.8106533762922836,25334.78642367796
"Air T, Inc. - Common Stock",0.0,0.0,0.8106533762922836,25334.78642367796
SITE Centers Corp. Common Stock,0.0004779127190871444,0.04779127190871444,0.8106533762922836,25334.78642367796
Nuveen New York Select Tax-Free Income Portfolio Common Stock,4.5300119830089045e-05,0.004530011983008905,0.8106533762922836,25334.78642367796
BlackRock New York Municipal Income Trust,0.00036626552710600013,0.036626552710600016,0.8106533762922836,25334.78642367796
"Regional Health Properties, Inc. Common Stock",0.0,0.0,0.8106533762922836,25334.78642367796
"Innovative Solutions and Support, Inc. - Common Stock",1.7301194977030616e-06,0.00017301194977030614,0.8106533762922836,25334.78642367796
"Kandi Technologies Group, Inc. - Common Stock",0.0,0.0,0.8106533762922836,25334.78642367796
Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,0.02960252776410105,2.9602527764101048,0.8106533762922836,25334.78642367796
"Transcat, Inc. - Common Stock",0.0,0.0,0.8106533762922836,25334.78642367796
Carolina Financial Corporation - Common Stock,0.00018499737995832606,0.018499737995832606,0.8106533762922836,25334.78642367796
"Natuzzi, S.p.A.",0.0,0.0,0.8106533762922836,25334.78642367796
"Advanced Energy Industries, Inc. - Common Stock",0.0,0.0,0.8106533762922836,25334.78642367796
"United Airlines Holdings, Inc. - Common Stock",0.00036959428411753,0.036959428411753,0.8106533762922836,25334.78642367796
"T. Rowe Price Group, Inc. - Common Stock",0.027909992945537993,2.7909992945537994,0.8106533762922836,25334.78642367796
"Intuitive Surgical, Inc. - Common Stock",0.001240547028604238,0.12405470286042379,0.8106533762922836,25334.78642367796
"EastGroup Properties, Inc. Common Stock",0.03055972845055747,3.0559728450557473,0.8106533762922836,25334.78642367796
Ellington Financial Inc. Common Stock ,0.017005994042115957,1.7005994042115957,0.8106533762922836,25334.78642367796
"NVR, Inc. Common Stock",0.028070614903843015,2.8070614903843016,0.8106533762922836,25334.78642367796
