Company,Weight,Percentage,Sharpe Ratio,Annual Return
"AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",0.0,0.0,0.80300760588505,25592.157097849056
"Cisco Systems, Inc. - Common Stock",0.008913094968956186,0.8913094968956186,0.80300760588505,25592.157097849056
"Primerica, Inc. Common Stock",0.00029857825702159154,0.029857825702159155,0.80300760588505,25592.157097849056
Nuveen Municipal Credit Income Fund ,0.0007263922271413718,0.07263922271413717,0.80300760588505,25592.157097849056
Unit Corporation Common Stock,0.004750858074553052,0.4750858074553052,0.80300760588505,25592.157097849056
"HubSpot, Inc. Common Stock",0.0008281340462338217,0.08281340462338217,0.80300760588505,25592.157097849056
Great Panther Mining Limited Ordinary Shares (Canada),0.00015005490528404738,0.015005490528404738,0.80300760588505,25592.157097849056
"Sinclair Broadcast Group, Inc. - Class A Common Stock",0.003115263125425203,0.3115263125425203,0.80300760588505,25592.157097849056
"United Fire Group, Inc - Common Stock",1.47517476117833e-06,0.000147517476117833,0.80300760588505,25592.157097849056
AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index - Metals Total Return Structured Product,0.0,0.0,0.80300760588505,25592.157097849056
"Guaranty Federal Bancshares, Inc. - Common Stock",0.05966066163855294,5.966066163855294,0.80300760588505,25592.157097849056
"Air T, Inc. - Common Stock",0.0002534156053814571,0.025341560538145708,0.80300760588505,25592.157097849056
SITE Centers Corp. Common Stock,0.0,0.0,0.80300760588505,25592.157097849056
Nuveen New York Select Tax-Free Income Portfolio Common Stock,0.0,0.0,0.80300760588505,25592.157097849056
BlackRock New York Municipal Income Trust,0.00047330059279821347,0.04733005927982135,0.80300760588505,25592.157097849056
"Regional Health Properties, Inc. Common Stock",0.0004778517982449283,0.047785179824492825,0.80300760588505,25592.157097849056
"Innovative Solutions and Support, Inc. - Common Stock",0.0,0.0,0.80300760588505,25592.157097849056
"Kandi Technologies Group, Inc. - Common Stock",0.00020803605457416754,0.020803605457416753,0.80300760588505,25592.157097849056
Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,3.766283827239895e-05,0.003766283827239895,0.80300760588505,25592.157097849056
"Transcat, Inc. - Common Stock",0.0005274886981201687,0.05274886981201687,0.80300760588505,25592.157097849056
Carolina Financial Corporation - Common Stock,0.0,0.0,0.80300760588505,25592.157097849056
"Natuzzi, S.p.A.",0.0,0.0,0.80300760588505,25592.157097849056
"Advanced Energy Industries, Inc. - Common Stock",0.0006214230757094386,0.062142307570943855,0.80300760588505,25592.157097849056
"United Airlines Holdings, Inc. - Common Stock",0.0,0.0,0.80300760588505,25592.157097849056
"T. Rowe Price Group, Inc. - Common Stock",0.002566847711953289,0.2566847711953289,0.80300760588505,25592.157097849056
"Intuitive Surgical, Inc. - Common Stock",0.0015918329375743624,0.15918329375743623,0.80300760588505,25592.157097849056
"EastGroup Properties, Inc. Common Stock",0.01692134526076525,1.692134526076525,0.80300760588505,25592.157097849056
Ellington Financial Inc. Common Stock ,0.0,0.0,0.80300760588505,25592.157097849056
