algorithm,repair_method,mean_sharpe,std_sharpe,mean_return,mean_time,mean_generations,pop_size,mutation_rate,gaussian_stdev,num_elites,max_generations,swarm_size,max_iterations,w,c1,c2
GA,,0.9886456051215748,0.010503264783604558,34269.71463697208,2.20761775970459,51.0,200.0,0.01,0.05,1.0,50.0,,,,,
GA,,1.0466498750609303,0.018485438312846963,36612.82154965821,2.231166696548462,51.0,200.0,0.01,0.01,2.0,50.0,,,,,
GA,,1.0628524077516812,0.014440381277813073,37779.64360438811,2.2495236873626707,51.0,200.0,0.01,0.01,5.0,50.0,,,,,
GA,,1.0208780758455969,0.024590575504258538,36214.4830109508,2.2918584823608397,51.0,200.0,0.01,0.01,1.0,50.0,,,,,
GA,,1.0116979461536846,0.017892429187766436,35580.314572755204,2.31180944442749,51.0,200.0,0.01,0.05,2.0,50.0,,,,,
GA,,1.1388114126460418,0.01642514969464399,37703.467658716094,4.339880418777466,101.0,200.0,0.01,0.01,2.0,100.0,,,,,
GA,,1.1623215229494395,0.007915880572128633,38127.62610986581,4.401204347610474,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,,1.1236293950806104,0.007694826225408592,37775.54267736003,4.406616973876953,101.0,200.0,0.01,0.01,1.0,100.0,,,,,
GA,,1.0453216895764936,0.013482034253360893,36910.85319153841,4.409232234954834,101.0,200.0,0.01,0.05,1.0,100.0,,,,,
GA,,1.0651517252362033,0.01959763006605392,36069.25843851223,2.2016594409942627,51.0,200.0,0.01,0.05,5.0,50.0,,,,,
GA,,1.0848346710074128,0.017318118063697378,36888.90023151501,4.490993595123291,101.0,200.0,0.01,0.05,2.0,100.0,,,,,
GA,,0.8761173239721589,0.046511656059439875,33049.830541380055,2.23813533782959,51.0,200.0,0.01,0.1,1.0,50.0,,,,,
GA,,0.88646033010919,0.01582994822591854,32817.34552125433,2.2656694889068603,51.0,200.0,0.01,0.1,2.0,50.0,,,,,
GA,,0.9611416224220382,0.023164603158469358,34822.13651815207,2.1117844104766847,51.0,200.0,0.01,0.1,5.0,50.0,,,,,
GA,,0.9250731751418737,0.03308537167357769,36149.34372185136,4.2231032371521,101.0,200.0,0.01,0.1,1.0,100.0,,,,,
GA,,1.1317137447143748,0.012216138897926348,37745.74957561624,4.310354614257813,101.0,200.0,0.01,0.05,5.0,100.0,,,,,
GA,,0.9536212148200762,0.02649919723812384,34247.47512935453,2.2526048183441163,51.0,200.0,0.05,0.01,1.0,50.0,,,,,
GA,,0.9669944992741983,0.010329631767329421,35896.86567106177,2.1934311389923096,51.0,200.0,0.05,0.01,2.0,50.0,,,,,
GA,,1.000883768096585,0.023038690221440897,35413.23750779234,2.2095510005950927,51.0,200.0,0.05,0.01,5.0,50.0,,,,,
GA,,0.9912698174096561,0.04515513943825806,36393.67481211632,4.3088257789611815,101.0,200.0,0.01,0.1,2.0,100.0,,,,,
GA,,0.834474839498333,0.03355832464423504,32047.319718837323,2.251700496673584,51.0,200.0,0.05,0.05,1.0,50.0,,,,,
GA,,1.0427096022666251,0.023596435425416912,35181.620544070865,4.377781391143799,101.0,200.0,0.01,0.1,5.0,100.0,,,,,
GA,,0.9922868361457459,0.015155103874320081,35412.14105607011,4.376813507080078,101.0,200.0,0.05,0.01,1.0,100.0,,,,,
GA,,1.0005499147692862,0.008137739360608033,35597.39128781525,4.378515958786011,101.0,200.0,0.05,0.01,2.0,100.0,,,,,
GA,,0.8747954480443244,0.04381895494935973,31313.112156929205,2.3189300060272218,51.0,200.0,0.05,0.05,2.0,50.0,,,,,
GA,,0.8883482657659242,0.03335486314817324,30226.47887096162,2.2915987968444824,51.0,200.0,0.05,0.05,5.0,50.0,,,,,
GA,,0.7479966527695394,0.03262188106371046,28444.946148679726,2.2530916690826417,51.0,200.0,0.05,0.1,2.0,50.0,,,,,
GA,,1.0562602207551437,0.005303798702583286,35719.11504517962,4.550362539291382,101.0,200.0,0.05,0.01,5.0,100.0,,,,,
GA,,0.7318177132553213,0.026483376444487786,27693.498091538437,2.309183931350708,51.0,200.0,0.05,0.1,1.0,50.0,,,,,
GA,,0.8588295684775209,0.036326209187803514,34448.360624748246,4.544502544403076,101.0,200.0,0.05,0.05,1.0,100.0,,,,,
GA,,0.8933576866585877,0.03689528148273074,33602.763721894626,4.561313486099243,101.0,200.0,0.05,0.05,2.0,100.0,,,,,
GA,,0.7865848258198962,0.029212632290084105,28131.00291051955,2.296378517150879,51.0,200.0,0.05,0.1,5.0,50.0,,,,,
GA,,0.9639544428464701,0.04782102788572526,34750.12146385682,4.468499231338501,101.0,200.0,0.05,0.05,5.0,100.0,,,,,
GA,,0.7964347661253495,0.035020944745148226,30058.02556266456,4.382362270355225,101.0,200.0,0.05,0.1,2.0,100.0,,,,,
GA,,0.87284549327694,0.03378875114204404,32504.443554047386,2.285902404785156,51.0,200.0,0.1,0.01,2.0,50.0,,,,,
GA,,0.8171211775983782,0.06515245221450586,30734.112827519748,4.633892822265625,101.0,200.0,0.05,0.1,1.0,100.0,,,,,
GA,,0.8846938217423268,0.044121687307949534,32982.12903740002,2.398024559020996,51.0,200.0,0.1,0.01,1.0,50.0,,,,,
GA,,0.942427030973359,0.021527638716400895,35771.85542481377,2.323350429534912,51.0,200.0,0.1,0.01,5.0,50.0,,,,,
GA,,0.8075869376041929,0.030171960029957604,28638.147499592702,4.5089226245880125,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,,0.7824365956713012,0.04133490589364443,30172.02440403618,2.283614158630371,51.0,200.0,0.1,0.05,1.0,50.0,,,,,
GA,,0.7957450716299486,0.04095937576869601,29237.990471284014,2.24210205078125,51.0,200.0,0.1,0.05,2.0,50.0,,,,,
GA,,0.8973698467821825,0.027919661689035334,33782.62087682732,4.579926776885986,101.0,200.0,0.1,0.01,1.0,100.0,,,,,
GA,,0.9181539524531104,0.03339554352048001,34661.82627292066,4.587979364395141,101.0,200.0,0.1,0.01,2.0,100.0,,,,,
GA,,0.7970129354126846,0.017215436508105794,26788.872612986608,2.254726839065552,51.0,200.0,0.1,0.05,5.0,50.0,,,,,
GA,,0.7333860716853456,0.033392917079144095,29421.148356968875,2.297621011734009,51.0,200.0,0.1,0.1,1.0,50.0,,,,,
GA,,0.9849576698758135,0.01872527581928057,35692.52627743846,4.7316266059875485,101.0,200.0,0.1,0.01,5.0,100.0,,,,,
GA,,0.7863013929847165,0.03816221719529453,29815.439913975086,4.528159809112549,101.0,200.0,0.1,0.05,1.0,100.0,,,,,
GA,,0.7153947505038558,0.017258544787566634,24695.42324719319,2.2725918769836424,51.0,200.0,0.1,0.1,2.0,50.0,,,,,
GA,,0.842842389514572,0.025161259483196467,30443.77001589334,4.592024612426758,101.0,200.0,0.1,0.05,2.0,100.0,,,,,
