Generation,Mean Diversity,Std Diversity
0,0.0028822262624860905,9.154055947015611e-06
1,0.0035764837573920107,2.1170001559333634e-05
2,0.004063825678902867,3.4304125042973286e-05
3,0.004425865020912991,4.740380517304698e-05
4,0.004714110340369897,5.020303445810511e-05
5,0.0049516640496657235,5.9192748540196236e-05
6,0.00514122214549068,5.890763161126332e-05
7,0.005271822494267215,5.3363485461898976e-05
8,0.005374285264455352,6.10901544618681e-05
9,0.005457527746159885,7.082865104283269e-05
10,0.005507531577503284,7.274832983978876e-05
11,0.005547714280622915,7.287542095919088e-05
12,0.005570398242245341,6.998038095496406e-05
13,0.005575390295058226,6.911438977143205e-05
14,0.005587981381176362,7.862020925576941e-05
15,0.005587450776697221,6.570242979597334e-05
16,0.0055835243282362735,6.0782275625618895e-05
17,0.005587259825090567,7.653535596062043e-05
18,0.005588122712574547,7.859143517542226e-05
19,0.005578613093342943,8.255624805936576e-05
20,0.0055740281552647975,7.69549036310279e-05
21,0.005559264511066768,6.679922464643772e-05
22,0.0055564058625386294,6.69518492932441e-05
23,0.00556193650146297,7.457765658173543e-05
24,0.005549282406126283,7.96557623384231e-05
25,0.005538910023285558,8.125598800362719e-05
26,0.005519162520942375,8.419300687017874e-05
27,0.005517602944778955,9.59010885674123e-05
28,0.005503187631476924,9.468195269628518e-05
29,0.005501742136406035,8.223231635922657e-05
30,0.005494484656672056,8.904291587820164e-05
31,0.00549339429350803,9.326825747902165e-05
32,0.005477037756100491,8.90604759099367e-05
33,0.005480936290472258,9.202810912573638e-05
34,0.00548099663248058,9.777887700636449e-05
35,0.005461332038965538,8.531058613788864e-05
36,0.005463034064201777,7.938914205297295e-05
37,0.0054593050896017395,7.359109355201467e-05
38,0.0054515890123763245,8.048174985999082e-05
39,0.005458166413076905,8.454459461912909e-05
40,0.0054400677166179115,8.637378792332115e-05
41,0.005442470136852682,7.924343010186238e-05
42,0.005443650198777175,8.819048714262849e-05
43,0.005441539247458963,8.917709482359329e-05
44,0.005433125902304368,8.133269695982147e-05
45,0.005423148026577869,8.493180445379946e-05
46,0.0054238304498078335,8.57329929713358e-05
47,0.005416632230591054,7.747500427249658e-05
48,0.005405266431217829,7.736120103463037e-05
49,0.00540875162196477,9.308437821456235e-05
50,0.005405368231530278,0.00010595638217745348
