Company,Weight,Percentage,Sharpe Ratio,Annual Return
"AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",0.0,0.0,1.3984811208280443,39139.942645108975
"Cisco Systems, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
"Primerica, Inc. Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
Nuveen Municipal Credit Income Fund ,0.0,0.0,1.3984811208280443,39139.942645108975
Unit Corporation Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
"HubSpot, Inc. Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
Great Panther Mining Limited Ordinary Shares (Canada),0.0,0.0,1.3984811208280443,39139.942645108975
"Sinclair Broadcast Group, Inc. - Class A Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
"United Fire Group, Inc - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index - Metals Total Return Structured Product,0.0,0.0,1.3984811208280443,39139.942645108975
"Guaranty Federal Bancshares, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
"Air T, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
SITE Centers Corp. Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
Nuveen New York Select Tax-Free Income Portfolio Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
BlackRock New York Municipal Income Trust,0.0,0.0,1.3984811208280443,39139.942645108975
"Regional Health Properties, Inc. Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
"Innovative Solutions and Support, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
"Kandi Technologies Group, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,0.0,0.0,1.3984811208280443,39139.942645108975
"Transcat, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
Carolina Financial Corporation - Common Stock,0.09988821731386734,9.988821731386734,1.3984811208280443,39139.942645108975
"Natuzzi, S.p.A.",0.0,0.0,1.3984811208280443,39139.942645108975
"Advanced Energy Industries, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
"United Airlines Holdings, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
"T. Rowe Price Group, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
"Intuitive Surgical, Inc. - Common Stock",0.09988821731386734,9.988821731386734,1.3984811208280443,39139.942645108975
"EastGroup Properties, Inc. Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
Ellington Financial Inc. Common Stock ,0.0,0.0,1.3984811208280443,39139.942645108975
"NVR, Inc. Common Stock",0.09988821731386734,9.988821731386734,1.3984811208280443,39139.942645108975
"Frequency Electronics, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
"Worthington Industries, Inc. Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
Perrigo Company plc Ordinary Shares,0.0,0.0,1.3984811208280443,39139.942645108975
"Lincoln Electric Holdings, Inc. - Common Shares",0.0,0.0,1.3984811208280443,39139.942645108975
RPT Realty Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
"Veracyte, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
"USA Compression Partners, LP Common Units Representing Limited Partner Interests",0.0,0.0,1.3984811208280443,39139.942645108975
Cohen & Company Inc.,0.0,0.0,1.3984811208280443,39139.942645108975
Neuberger Berman California Municipal Fund Inc Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
"Douglas Dynamics, Inc. Common Stock",1.3089373572025859e-06,0.0001308937357202586,1.3984811208280443,39139.942645108975
Pivotal Investment Corporation II Class A Common Stock,0.09988821731386734,9.988821731386734,1.3984811208280443,39139.942645108975
"PRGX Global, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
Enerplus Corporation Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
"India Fund, Inc. (The) Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
Koninklijke Philips N.V. NY Registry Shares,0.0,0.0,1.3984811208280443,39139.942645108975
UNIVERSAL INSURANCE HOLDINGS INC Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
Anheuser-Busch Inbev SA Sponsored ADR (Belgium),0.0,0.0,1.3984811208280443,39139.942645108975
Orrstown Financial Services Inc - Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
PIMCO Income Strategy Fund Shares of Beneficial Interest,0.0,0.0,1.3984811208280443,39139.942645108975
Precision Drilling Corporation Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
"Orion Energy Systems, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
"Ballard Power Systems, Inc. - Common Shares",0.0,0.0,1.3984811208280443,39139.942645108975
"Northern Oil and Gas, Inc. Common Stock",3.6339350578307865e-08,3.6339350578307865e-06,1.3984811208280443,39139.942645108975
Bluelinx Holdings Inc. Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
DWS Strategic Municipal Income Trust,0.0,0.0,1.3984811208280443,39139.942645108975
City Holding Company - Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
Liberty Global plc - Class C Ordinary Shares,0.0,0.0,1.3984811208280443,39139.942645108975
"Spok Holdings, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
Steel Partners Holdings LP LTD PARTNERSHIP UNIT,0.0,0.0,1.3984811208280443,39139.942645108975
"Tapestry, Inc. Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
"TCW Strategic Income Fund, Inc. Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
Devon Energy Corporation Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
MGE Energy Inc. - Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
American Superconductor Corporation - Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
"Servotronics, Inc. Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
Columbia Seligman Premium Technology Growth Fund Inc,0.0,0.0,1.3984811208280443,39139.942645108975
Acceleron Pharma Inc. - Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
"Stanley Black & Decker, Inc. Corporate Units",0.004102970214262977,0.4102970214262977,1.3984811208280443,39139.942645108975
"DTE Energy Company 2012 Series C 5.25% Junior Subordinate Debentures due December 1, 2062",0.0,0.0,1.3984811208280443,39139.942645108975
"SCYNEXIS, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
"Manning & Napier, Inc. Class A Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
"Amtech Systems, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
"Inspired Entertainment, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
Service Properties Trust - Shares of Beneficial Interest,0.0,0.0,1.3984811208280443,39139.942645108975
"DTF Tax-Free Income, Inc. Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
Hanmi Financial Corporation - Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
Crane Co. Common Stock,1.5656052676926224e-05,0.0015656052676926223,1.3984811208280443,39139.942645108975
"ADTRAN, Inc. - Common Stock",7.057371226930863e-07,7.057371226930863e-05,1.3984811208280443,39139.942645108975
"Coffee Holding Co., Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
Sandstorm Gold Ltd. Ordinary Shares (Canada),0.0,0.0,1.3984811208280443,39139.942645108975
Daxor Corporation Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
Crestwood Equity Partners LP,0.0,0.0,1.3984811208280443,39139.942645108975
"Omega Flex, Inc. - Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
DURECT Corporation - Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
Antero Midstream Corporation Common Stock,0.00030579157777100457,0.030579157777100456,1.3984811208280443,39139.942645108975
Wayfair Inc. Class A Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
Adams Diversified Equity Fund Inc.,0.0,0.0,1.3984811208280443,39139.942645108975
"Blackrock MuniYield Quality Fund II, Inc. Common Stock",0.0,0.0,1.3984811208280443,39139.942645108975
Celanese Corporation Celanese Corporation Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
Astrotech Corporation - Common Stock,9.182743644700968e-07,9.182743644700968e-05,1.3984811208280443,39139.942645108975
Marathon Oil Corporation Common Stock,0.0,0.0,1.3984811208280443,39139.942645108975
"DB Gold Double Short ETN due February 15, 2038",0.0,0.0,1.3984811208280443,39139.942645108975
