Company,Weight,Percentage,Sharpe Ratio,Annual Return
"AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",0.0001932873064692978,0.01932873064692978,1.3410988187233617,39110.90842522648
"Cisco Systems, Inc. - Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
"Primerica, Inc. Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
Nuveen Municipal Credit Income Fund ,0.013641726358936755,1.3641726358936754,1.3410988187233617,39110.90842522648
Unit Corporation Common Stock,0.0,0.0,1.3410988187233617,39110.90842522648
"HubSpot, Inc. Common Stock",0.09994180548311699,9.994180548311698,1.3410988187233617,39110.90842522648
Great Panther Mining Limited Ordinary Shares (Canada),0.0,0.0,1.3410988187233617,39110.90842522648
"Sinclair Broadcast Group, Inc. - Class A Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
"United Fire Group, Inc - Common Stock",0.007655793690603841,0.765579369060384,1.3410988187233617,39110.90842522648
AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index - Metals Total Return Structured Product,0.0,0.0,1.3410988187233617,39110.90842522648
"Guaranty Federal Bancshares, Inc. - Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
"Air T, Inc. - Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
SITE Centers Corp. Common Stock,0.0018581855195440723,0.18581855195440722,1.3410988187233617,39110.90842522648
Nuveen New York Select Tax-Free Income Portfolio Common Stock,0.0,0.0,1.3410988187233617,39110.90842522648
BlackRock New York Municipal Income Trust,0.0,0.0,1.3410988187233617,39110.90842522648
"Regional Health Properties, Inc. Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
"Innovative Solutions and Support, Inc. - Common Stock",0.0035798964150967933,0.3579896415096793,1.3410988187233617,39110.90842522648
"Kandi Technologies Group, Inc. - Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,0.0,0.0,1.3410988187233617,39110.90842522648
"Transcat, Inc. - Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
Carolina Financial Corporation - Common Stock,0.016829524768551898,1.6829524768551898,1.3410988187233617,39110.90842522648
"Natuzzi, S.p.A.",0.0,0.0,1.3410988187233617,39110.90842522648
"Advanced Energy Industries, Inc. - Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
"United Airlines Holdings, Inc. - Common Stock",0.008105751140756089,0.8105751140756089,1.3410988187233617,39110.90842522648
"T. Rowe Price Group, Inc. - Common Stock",0.005188334305248342,0.5188334305248342,1.3410988187233617,39110.90842522648
"Intuitive Surgical, Inc. - Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
"EastGroup Properties, Inc. Common Stock",0.09994180548311699,9.994180548311698,1.3410988187233617,39110.90842522648
Ellington Financial Inc. Common Stock ,0.0,0.0,1.3410988187233617,39110.90842522648
"NVR, Inc. Common Stock",0.014958379467225,1.4958379467225,1.3410988187233617,39110.90842522648
"Frequency Electronics, Inc. - Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
"Worthington Industries, Inc. Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
Perrigo Company plc Ordinary Shares,0.0,0.0,1.3410988187233617,39110.90842522648
"Lincoln Electric Holdings, Inc. - Common Shares",0.00035262489045787817,0.03526248904578782,1.3410988187233617,39110.90842522648
RPT Realty Common Stock,0.0,0.0,1.3410988187233617,39110.90842522648
"Veracyte, Inc. - Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
"USA Compression Partners, LP Common Units Representing Limited Partner Interests",0.0,0.0,1.3410988187233617,39110.90842522648
Cohen & Company Inc.,0.0,0.0,1.3410988187233617,39110.90842522648
Neuberger Berman California Municipal Fund Inc Common Stock,0.0,0.0,1.3410988187233617,39110.90842522648
"Douglas Dynamics, Inc. Common Stock",0.006137845731588138,0.6137845731588137,1.3410988187233617,39110.90842522648
Pivotal Investment Corporation II Class A Common Stock,0.09994180548311699,9.994180548311698,1.3410988187233617,39110.90842522648
"PRGX Global, Inc. - Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
Enerplus Corporation Common Stock,0.0,0.0,1.3410988187233617,39110.90842522648
"India Fund, Inc. (The) Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
Koninklijke Philips N.V. NY Registry Shares,0.0,0.0,1.3410988187233617,39110.90842522648
UNIVERSAL INSURANCE HOLDINGS INC Common Stock,0.0,0.0,1.3410988187233617,39110.90842522648
Anheuser-Busch Inbev SA Sponsored ADR (Belgium),0.0,0.0,1.3410988187233617,39110.90842522648
Orrstown Financial Services Inc - Common Stock,0.0,0.0,1.3410988187233617,39110.90842522648
PIMCO Income Strategy Fund Shares of Beneficial Interest,0.0,0.0,1.3410988187233617,39110.90842522648
Precision Drilling Corporation Common Stock,0.0,0.0,1.3410988187233617,39110.90842522648
"Orion Energy Systems, Inc. - Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
"Ballard Power Systems, Inc. - Common Shares",0.0,0.0,1.3410988187233617,39110.90842522648
"Northern Oil and Gas, Inc. Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
Bluelinx Holdings Inc. Common Stock,2.473189074618861e-05,0.0024731890746188608,1.3410988187233617,39110.90842522648
DWS Strategic Municipal Income Trust,0.0,0.0,1.3410988187233617,39110.90842522648
City Holding Company - Common Stock,0.0,0.0,1.3410988187233617,39110.90842522648
Liberty Global plc - Class C Ordinary Shares,0.0005052061424546003,0.05052061424546003,1.3410988187233617,39110.90842522648
"Spok Holdings, Inc. - Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
Steel Partners Holdings LP LTD PARTNERSHIP UNIT,0.0,0.0,1.3410988187233617,39110.90842522648
"Tapestry, Inc. Common Stock",0.003416658944599125,0.3416658944599125,1.3410988187233617,39110.90842522648
"TCW Strategic Income Fund, Inc. Common Stock",0.0,0.0,1.3410988187233617,39110.90842522648
