Company,Weight,Percentage,Sharpe Ratio,Annual Return
Kimco Realty Corporation Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
"Kirkland's, Inc. - Common Stock",0.000423468,0.0423468,1.087727620956924,116.36538427798642
Stepan Company Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
"Watts Water Technologies, Inc. Class A Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
"Lifetime Brands, Inc. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
"Dave & Buster's Entertainment, Inc. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
"PolarityTE, Inc. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
Fluidigm Corporation - Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
IRSA Propiedades Comerciales S.A. - American Depository Shares,0.0,0.0,1.087727620956924,116.36538427798642
"SPS Commerce, Inc. - Common Stock",0.002256283,0.2256283,1.087727620956924,116.36538427798642
"Lexicon Pharmaceuticals, Inc. - Common Stock",4.92e-06,0.000492,1.087727620956924,116.36538427798642
"Donegal Group, Inc. - Class B Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
"Shiloh Industries, Inc. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
"DB Gold Double Long ETN due February 15, 2038",0.0,0.0,1.087727620956924,116.36538427798642
Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,0.053511971,5.3511971,1.087727620956924,116.36538427798642
"OSI Systems, Inc. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
UNIVERSAL INSURANCE HOLDINGS INC Common Stock,3.3966e-05,0.0033966,1.087727620956924,116.36538427798642
Lincoln Educational Services Corporation - Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
"Aerie Pharmaceuticals, Inc. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
"Independence Realty Trust, Inc. Common Stock",0.092380888,9.2380888,1.087727620956924,116.36538427798642
"Blackstone Mortgage Trust, Inc. Common Stock",0.099340432,9.934043200000001,1.087727620956924,116.36538427798642
"Entergy Mississippi, LLC First Mortgage Bonds, 4.90% Series Due October 1, 2066",0.09899987,9.899987000000001,1.087727620956924,116.36538427798642
"ServiceMaster Global Holdings, Inc. Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
American Equity Investment Life Holding Company Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
"Manitex International, Inc. - common stock",6.5289e-05,0.006528900000000001,1.087727620956924,116.36538427798642
Primo Water Corporation Common Stock,0.072345802,7.2345802,1.087727620956924,116.36538427798642
"Champions Oncology, Inc. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
"Cohu, Inc. - Common Stock",0.000779111,0.0779111,1.087727620956924,116.36538427798642
"Nuance Communications, Inc. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
"Maiden Holdings, Ltd. 6.625% Notes due 2046",7.0518e-05,0.0070518,1.087727620956924,116.36538427798642
"Carter's, Inc. Common Stock",0.000129212,0.012921199999999999,1.087727620956924,116.36538427798642
"Wayside Technology Group, Inc. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
"Sunstone Hotel Investors, Inc. Sunstone Hotel Investors, Inc. Common Shares",0.0,0.0,1.087727620956924,116.36538427798642
"Dillard's, Inc. Common Stock",3.097e-05,0.0030970000000000004,1.087727620956924,116.36538427798642
"South Jersey Industries, Inc. Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
iPath Pure Beta Crude Oil ETN,0.0,0.0,1.087727620956924,116.36538427798642
WEX Inc. common stock,0.047427728,4.7427728,1.087727620956924,116.36538427798642
Ducommun Incorporated Common Stock,2.12e-07,2.12e-05,1.087727620956924,116.36538427798642
"Cboe Global Markets, Inc. Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
Vonage Holdings Corp. - Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
Barclays PLC Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
Biglari Holdings Inc. Class B Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
Deutsche Bk Contingent Cap TR II Tr Pfd Sec,0.0,0.0,1.087727620956924,116.36538427798642
"Alaska Air Group, Inc. Common Stock",0.001371695,0.1371695,1.087727620956924,116.36538427798642
Kennedy-Wilson Holdings Inc. Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
"Copart, Inc. - Common Stock",0.09853751,9.853750999999999,1.087727620956924,116.36538427798642
"Marten Transport, Ltd. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
Xinyuan Real Estate Co Ltd American Depositary Shares,0.0,0.0,1.087727620956924,116.36538427798642
ORBCOMM Inc. - Common Stock,0.00024446,0.024446,1.087727620956924,116.36538427798642
AGNC Investment Corp. - Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
"Zillow Group, Inc. - Class A Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
Ion Geophysical Corporation Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
Nuveen Missouri Quality Municipal Income Fund ,6.5198e-05,0.006519799999999999,1.087727620956924,116.36538427798642
"Computer Task Group, Incorporated - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
"Voya Financial, Inc. Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
Icahn Enterprises L.P. - Depositary units,0.0,0.0,1.087727620956924,116.36538427798642
Extra Space Storage Inc Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
"Theravance Biopharma, Inc. - Ordinary Shares",0.0,0.0,1.087727620956924,116.36538427798642
Friedman Industries Inc. Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
Radcom Ltd. - Ordinary Shares,0.0,0.0,1.087727620956924,116.36538427798642
"Littelfuse, Inc. - Common Stock",0.001297355,0.1297355,1.087727620956924,116.36538427798642
Oak Valley Bancorp (CA) - Common Stock,1e-09,1.0000000000000001e-07,1.087727620956924,116.36538427798642
Ferro Corporation Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
STAAR Surgical Company - Common Stock,0.099429974,9.942997400000001,1.087727620956924,116.36538427798642
Central European Media Enterprises Ltd. - Class A Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
"Townsquare Media, Inc. Class A Common Stock",0.000109519,0.0109519,1.087727620956924,116.36538427798642
CNA Financial Corporation Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
Crane Co. Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
"Telephone and Data Systems, Inc. Common Shares",0.000130664,0.0130664,1.087727620956924,116.36538427798642
HighPoint Resources Corporation Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
"JAKKS Pacific, Inc. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
Nevro Corp. Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
"Blackrock MuniYield Fund, Inc.  Common Stock",0.000575667,0.0575667,1.087727620956924,116.36538427798642
Regency Centers Corporation - Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
Akers Biosciences Inc. - Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
"U.S. Auto Parts Network, Inc. - Common Stock",5.2e-06,0.0005200000000000001,1.087727620956924,116.36538427798642
II-VI Incorporated - Common Stock,0.034101249,3.4101249,1.087727620956924,116.36538427798642
Humana Inc. Common Stock,0.098712052,9.871205199999999,1.087727620956924,116.36538427798642
Koss Corporation - Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
"Dine Brands Global, Inc. Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
"Adams Natural Resources Fund, Inc. Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
"Ballantyne Strong, Inc. Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
YPF Sociedad Anonima Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
Synchrony Financial Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
Textainer Group Holdings Limited Common Shares,0.0,0.0,1.087727620956924,116.36538427798642
"Myriad Genetics, Inc. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
Progress Software Corporation - Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
"NuVasive, Inc. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
"Collectors Universe, Inc. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
"Sage Therapeutics, Inc. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
Five Star Senior Living Inc. - Common Shares,0.0,0.0,1.087727620956924,116.36538427798642
"Motorcar Parts of America, Inc. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
DURECT Corporation - Common Stock,0.099620878,9.962087799999999,1.087727620956924,116.36538427798642
"Barclays Bank PLC iPath Exchange Traded Notes due June 12, 2036 Linked to GSCI Total Return Index",0.0,0.0,1.087727620956924,116.36538427798642
"Broadwind Energy, Inc. - Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
Kingold Jewelry Inc. - Common Stock,0.0,0.0,1.087727620956924,116.36538427798642
Sunrun Inc. - Common Stock,2e-09,2.0000000000000002e-07,1.087727620956924,116.36538427798642
"United Bankshares, Inc. - Common Stock",8.101e-06,0.0008100999999999999,1.087727620956924,116.36538427798642
"Industrias Bachoco, S.A.B. de C.V. Common Stock",0.0,0.0,1.087727620956924,116.36538427798642
Aptorum Group Limited - Class A Ordinary Shares,0.097989834,9.7989834,1.087727620956924,116.36538427798642
