Company,Weight,Percentage,Sharpe Ratio,Annual Return
Kimco Realty Corporation Common Stock,0.000324038,0.0324038,0.9569100549817297,110.21695700747448
"Kirkland's, Inc. - Common Stock",0.0,0.0,0.9569100549817297,110.21695700747448
Stepan Company Common Stock,0.092755655,9.2755655,0.9569100549817297,110.21695700747448
"Watts Water Technologies, Inc. Class A Common Stock",0.003249271,0.3249271,0.9569100549817297,110.21695700747448
"Lifetime Brands, Inc. - Common Stock",5.9065e-05,0.005906499999999999,0.9569100549817297,110.21695700747448
"Dave & Buster's Entertainment, Inc. - Common Stock",0.024722624,2.4722624,0.9569100549817297,110.21695700747448
"PolarityTE, Inc. - Common Stock",0.0,0.0,0.9569100549817297,110.21695700747448
Fluidigm Corporation - Common Stock,0.004723591,0.47235910000000003,0.9569100549817297,110.21695700747448
IRSA Propiedades Comerciales S.A. - American Depository Shares,0.002353985,0.23539849999999998,0.9569100549817297,110.21695700747448
"SPS Commerce, Inc. - Common Stock",0.0,0.0,0.9569100549817297,110.21695700747448
"Lexicon Pharmaceuticals, Inc. - Common Stock",5.867e-06,0.0005867,0.9569100549817297,110.21695700747448
"Donegal Group, Inc. - Class B Common Stock",0.0,0.0,0.9569100549817297,110.21695700747448
"Shiloh Industries, Inc. - Common Stock",2.002e-06,0.00020020000000000001,0.9569100549817297,110.21695700747448
"DB Gold Double Long ETN due February 15, 2038",6.3599e-05,0.0063599,0.9569100549817297,110.21695700747448
Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,0.085000783,8.5000783,0.9569100549817297,110.21695700747448
"OSI Systems, Inc. - Common Stock",0.0,0.0,0.9569100549817297,110.21695700747448
UNIVERSAL INSURANCE HOLDINGS INC Common Stock,0.015367104,1.5367104,0.9569100549817297,110.21695700747448
Lincoln Educational Services Corporation - Common Stock,0.0,0.0,0.9569100549817297,110.21695700747448
"Aerie Pharmaceuticals, Inc. - Common Stock",0.0,0.0,0.9569100549817297,110.21695700747448
"Independence Realty Trust, Inc. Common Stock",2.4201e-05,0.0024201,0.9569100549817297,110.21695700747448
"Blackstone Mortgage Trust, Inc. Common Stock",0.0,0.0,0.9569100549817297,110.21695700747448
"Entergy Mississippi, LLC First Mortgage Bonds, 4.90% Series Due October 1, 2066",0.094969133,9.4969133,0.9569100549817297,110.21695700747448
"ServiceMaster Global Holdings, Inc. Common Stock",0.0,0.0,0.9569100549817297,110.21695700747448
American Equity Investment Life Holding Company Common Stock,0.0,0.0,0.9569100549817297,110.21695700747448
"Manitex International, Inc. - common stock",0.0,0.0,0.9569100549817297,110.21695700747448
Primo Water Corporation Common Stock,0.010961266,1.0961266,0.9569100549817297,110.21695700747448
"Champions Oncology, Inc. - Common Stock",0.00090152,0.090152,0.9569100549817297,110.21695700747448
"Cohu, Inc. - Common Stock",0.087268237,8.7268237,0.9569100549817297,110.21695700747448
"Nuance Communications, Inc. - Common Stock",0.0,0.0,0.9569100549817297,110.21695700747448
"Maiden Holdings, Ltd. 6.625% Notes due 2046",0.0,0.0,0.9569100549817297,110.21695700747448
"Carter's, Inc. Common Stock",0.0,0.0,0.9569100549817297,110.21695700747448
"Wayside Technology Group, Inc. - Common Stock",0.002177593,0.2177593,0.9569100549817297,110.21695700747448
"Sunstone Hotel Investors, Inc. Sunstone Hotel Investors, Inc. Common Shares",0.002720932,0.27209320000000004,0.9569100549817297,110.21695700747448
"Dillard's, Inc. Common Stock",1.0918e-05,0.0010918,0.9569100549817297,110.21695700747448
"South Jersey Industries, Inc. Common Stock",4.3762e-05,0.0043762,0.9569100549817297,110.21695700747448
iPath Pure Beta Crude Oil ETN,0.0,0.0,0.9569100549817297,110.21695700747448
WEX Inc. common stock,0.040296658,4.0296658,0.9569100549817297,110.21695700747448
Ducommun Incorporated Common Stock,0.00012075,0.012074999999999999,0.9569100549817297,110.21695700747448
"Cboe Global Markets, Inc. Common Stock",0.001043926,0.10439259999999999,0.9569100549817297,110.21695700747448
Vonage Holdings Corp. - Common Stock,0.005190317,0.5190317,0.9569100549817297,110.21695700747448
Barclays PLC Common Stock,0.000486045,0.0486045,0.9569100549817297,110.21695700747448
Biglari Holdings Inc. Class B Common Stock,0.0,0.0,0.9569100549817297,110.21695700747448
Deutsche Bk Contingent Cap TR II Tr Pfd Sec,0.0,0.0,0.9569100549817297,110.21695700747448
