Company,Weight,Percentage,Sharpe Ratio,Annual Return
Kimco Realty Corporation Common Stock,0.001721802,0.1721802,0.8642064977073284,102.06857027041525
"Kirkland's, Inc. - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
Stepan Company Common Stock,0.097486759,9.7486759,0.8642064977073284,102.06857027041525
"Watts Water Technologies, Inc. Class A Common Stock",0.001098289,0.1098289,0.8642064977073284,102.06857027041525
"Lifetime Brands, Inc. - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
"Dave & Buster's Entertainment, Inc. - Common Stock",0.003265289,0.3265289,0.8642064977073284,102.06857027041525
"PolarityTE, Inc. - Common Stock",0.012989079,1.2989079000000001,0.8642064977073284,102.06857027041525
Fluidigm Corporation - Common Stock,0.0,0.0,0.8642064977073284,102.06857027041525
IRSA Propiedades Comerciales S.A. - American Depository Shares,0.0,0.0,0.8642064977073284,102.06857027041525
"SPS Commerce, Inc. - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
"Lexicon Pharmaceuticals, Inc. - Common Stock",0.01203205,1.203205,0.8642064977073284,102.06857027041525
"Donegal Group, Inc. - Class B Common Stock",0.025156238,2.5156238,0.8642064977073284,102.06857027041525
"Shiloh Industries, Inc. - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
"DB Gold Double Long ETN due February 15, 2038",0.0,0.0,0.8642064977073284,102.06857027041525
Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,0.023400797,2.3400797,0.8642064977073284,102.06857027041525
"OSI Systems, Inc. - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
UNIVERSAL INSURANCE HOLDINGS INC Common Stock,0.0,0.0,0.8642064977073284,102.06857027041525
Lincoln Educational Services Corporation - Common Stock,0.0,0.0,0.8642064977073284,102.06857027041525
"Aerie Pharmaceuticals, Inc. - Common Stock",0.019539641,1.9539641,0.8642064977073284,102.06857027041525
"Independence Realty Trust, Inc. Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
"Blackstone Mortgage Trust, Inc. Common Stock",0.002904872,0.2904872,0.8642064977073284,102.06857027041525
"Entergy Mississippi, LLC First Mortgage Bonds, 4.90% Series Due October 1, 2066",0.098290058,9.8290058,0.8642064977073284,102.06857027041525
"ServiceMaster Global Holdings, Inc. Common Stock",0.002544575,0.2544575,0.8642064977073284,102.06857027041525
American Equity Investment Life Holding Company Common Stock,0.0,0.0,0.8642064977073284,102.06857027041525
"Manitex International, Inc. - common stock",0.003523857,0.3523857,0.8642064977073284,102.06857027041525
Primo Water Corporation Common Stock,0.040690906,4.0690906,0.8642064977073284,102.06857027041525
"Champions Oncology, Inc. - Common Stock",0.06340514,6.340514,0.8642064977073284,102.06857027041525
"Cohu, Inc. - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
"Nuance Communications, Inc. - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
"Maiden Holdings, Ltd. 6.625% Notes due 2046",0.0,0.0,0.8642064977073284,102.06857027041525
"Carter's, Inc. Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
"Wayside Technology Group, Inc. - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
"Sunstone Hotel Investors, Inc. Sunstone Hotel Investors, Inc. Common Shares",0.0,0.0,0.8642064977073284,102.06857027041525
"Dillard's, Inc. Common Stock",7.8526e-05,0.0078526,0.8642064977073284,102.06857027041525
"South Jersey Industries, Inc. Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
iPath Pure Beta Crude Oil ETN,0.0,0.0,0.8642064977073284,102.06857027041525
WEX Inc. common stock,0.0,0.0,0.8642064977073284,102.06857027041525
Ducommun Incorporated Common Stock,0.0,0.0,0.8642064977073284,102.06857027041525
"Cboe Global Markets, Inc. Common Stock",0.000685955,0.0685955,0.8642064977073284,102.06857027041525
Vonage Holdings Corp. - Common Stock,0.0,0.0,0.8642064977073284,102.06857027041525
Barclays PLC Common Stock,0.0,0.0,0.8642064977073284,102.06857027041525
Biglari Holdings Inc. Class B Common Stock,0.0,0.0,0.8642064977073284,102.06857027041525
Deutsche Bk Contingent Cap TR II Tr Pfd Sec,0.0,0.0,0.8642064977073284,102.06857027041525
"Alaska Air Group, Inc. Common Stock",0.039604167,3.9604167,0.8642064977073284,102.06857027041525
Kennedy-Wilson Holdings Inc. Common Stock,0.000986733,0.0986733,0.8642064977073284,102.06857027041525
"Copart, Inc. - Common Stock",0.095076768,9.5076768,0.8642064977073284,102.06857027041525
"Marten Transport, Ltd. - Common Stock",0.043656799,4.3656799,0.8642064977073284,102.06857027041525
Xinyuan Real Estate Co Ltd American Depositary Shares,0.060986892,6.0986892,0.8642064977073284,102.06857027041525
ORBCOMM Inc. - Common Stock,0.0,0.0,0.8642064977073284,102.06857027041525
AGNC Investment Corp. - Common Stock,0.0,0.0,0.8642064977073284,102.06857027041525
"Zillow Group, Inc. - Class A Common Stock",0.005638265,0.5638265,0.8642064977073284,102.06857027041525
Ion Geophysical Corporation Common Stock,7.202e-06,0.0007201999999999999,0.8642064977073284,102.06857027041525
Nuveen Missouri Quality Municipal Income Fund ,0.0,0.0,0.8642064977073284,102.06857027041525
"Computer Task Group, Incorporated - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
"Voya Financial, Inc. Common Stock",3.23e-07,3.23e-05,0.8642064977073284,102.06857027041525
Icahn Enterprises L.P. - Depositary units,0.0,0.0,0.8642064977073284,102.06857027041525
Extra Space Storage Inc Common Stock,0.03942196,3.942196,0.8642064977073284,102.06857027041525
"Theravance Biopharma, Inc. - Ordinary Shares",0.0,0.0,0.8642064977073284,102.06857027041525
Friedman Industries Inc. Common Stock,0.003537323,0.3537323,0.8642064977073284,102.06857027041525
Radcom Ltd. - Ordinary Shares,0.0,0.0,0.8642064977073284,102.06857027041525
"Littelfuse, Inc. - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
Oak Valley Bancorp (CA) - Common Stock,0.0,0.0,0.8642064977073284,102.06857027041525
Ferro Corporation Common Stock,0.013792362,1.3792362,0.8642064977073284,102.06857027041525
STAAR Surgical Company - Common Stock,0.000122305,0.012230499999999998,0.8642064977073284,102.06857027041525
Central European Media Enterprises Ltd. - Class A Common Stock,0.003085124,0.30851239999999996,0.8642064977073284,102.06857027041525
"Townsquare Media, Inc. Class A Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
CNA Financial Corporation Common Stock,0.0,0.0,0.8642064977073284,102.06857027041525
Crane Co. Common Stock,0.0,0.0,0.8642064977073284,102.06857027041525
"Telephone and Data Systems, Inc. Common Shares",0.0,0.0,0.8642064977073284,102.06857027041525
HighPoint Resources Corporation Common Stock,0.015238301,1.5238300999999999,0.8642064977073284,102.06857027041525
"JAKKS Pacific, Inc. - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
Nevro Corp. Common Stock,0.000386177,0.038617700000000005,0.8642064977073284,102.06857027041525
"Blackrock MuniYield Fund, Inc.  Common Stock",0.013822302,1.3822302,0.8642064977073284,102.06857027041525
Regency Centers Corporation - Common Stock,0.000158888,0.015888799999999998,0.8642064977073284,102.06857027041525
Akers Biosciences Inc. - Common Stock,0.0,0.0,0.8642064977073284,102.06857027041525
"U.S. Auto Parts Network, Inc. - Common Stock",0.019966531,1.9966530999999998,0.8642064977073284,102.06857027041525
II-VI Incorporated - Common Stock,0.017660176,1.7660176,0.8642064977073284,102.06857027041525
Humana Inc. Common Stock,0.034817258,3.4817257999999995,0.8642064977073284,102.06857027041525
Koss Corporation - Common Stock,0.016992759,1.6992759,0.8642064977073284,102.06857027041525
"Dine Brands Global, Inc. Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
"Adams Natural Resources Fund, Inc. Common Stock",0.001931945,0.1931945,0.8642064977073284,102.06857027041525
"Ballantyne Strong, Inc. Common Stock",0.037693628,3.7693628,0.8642064977073284,102.06857027041525
YPF Sociedad Anonima Common Stock,0.0,0.0,0.8642064977073284,102.06857027041525
Synchrony Financial Common Stock,0.000131251,0.0131251,0.8642064977073284,102.06857027041525
Textainer Group Holdings Limited Common Shares,0.0,0.0,0.8642064977073284,102.06857027041525
"Myriad Genetics, Inc. - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
Progress Software Corporation - Common Stock,0.016173762,1.6173762,0.8642064977073284,102.06857027041525
"NuVasive, Inc. - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
"Collectors Universe, Inc. - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
"Sage Therapeutics, Inc. - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
Five Star Senior Living Inc. - Common Shares,0.001129553,0.1129553,0.8642064977073284,102.06857027041525
"Motorcar Parts of America, Inc. - Common Stock",0.034883975,3.4883974999999996,0.8642064977073284,102.06857027041525
DURECT Corporation - Common Stock,0.056377803,5.637780299999999,0.8642064977073284,102.06857027041525
"Barclays Bank PLC iPath Exchange Traded Notes due June 12, 2036 Linked to GSCI Total Return Index",0.004694949,0.46949490000000005,0.8642064977073284,102.06857027041525
"Broadwind Energy, Inc. - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
Kingold Jewelry Inc. - Common Stock,0.012715712,1.2715712000000001,0.8642064977073284,102.06857027041525
Sunrun Inc. - Common Stock,0.0,0.0,0.8642064977073284,102.06857027041525
"United Bankshares, Inc. - Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
"Industrias Bachoco, S.A.B. de C.V. Common Stock",0.0,0.0,0.8642064977073284,102.06857027041525
Aptorum Group Limited - Class A Ordinary Shares,0.000494974,0.049497400000000004,0.8642064977073284,102.06857027041525
