Generation,Diversity
0,0.005599699867092583
1,0.004216980743396032
2,0.004514060674936777
3,0.004153357318297129
4,0.0038639974318844484
5,0.003375427348617713
6,0.003955545949636074
7,0.004866941729114462
8,0.00563790828735575
9,0.00602254658079686
10,0.006545528599587227
11,0.007794399896797094
12,0.008452158817060478
13,0.008616730823370767
14,0.008982018831959274
15,0.008596643298173003
16,0.008584073661039544
17,0.009031815865554495
18,0.00977924237694156
19,0.010133618797770387
20,0.010668731132376087
21,0.01149185447576853
22,0.011603522393472303
23,0.012503985411101808
24,0.0124470372890295
25,0.012104208791795351
26,0.012484957177096554
27,0.012859969042671771
28,0.013254816851076759
29,0.013989698028961484
30,0.014199487622940356
31,0.014372646977028178
32,0.014106818569762552
33,0.013035858026193427
34,0.013098650841083566
35,0.01367788653894951
36,0.01387520570573112
37,0.013092812021991201
38,0.013390998650135613
39,0.01318209493881449
40,0.013574974602600633
41,0.014301719079613886
42,0.014970747482419236
43,0.015037735208645535
44,0.015374119587651353
45,0.015138657595352312
46,0.014777648673669826
47,0.015468094668924282
48,0.015565047124619435
49,0.016292479026152995
50,0.016456351974159556
51,0.016762534575108255
52,0.01645859585129929
53,0.017120401423283818
54,0.016764014167049892
55,0.016746448183093662
56,0.018396013656157655
57,0.018485895151693445
58,0.018257144915715742
59,0.018967631090429215
60,0.01862698799830261
61,0.018901272674767405
62,0.019186921433647048
63,0.018481354426099387
64,0.020117320986267374
65,0.019544598680916153
66,0.019152038315240663
67,0.019396062230533816
68,0.019765576458420694
69,0.01959206856082482
70,0.01962183946397015
71,0.019254151469580424
72,0.01868080949324541
73,0.019335416371750562
74,0.019053487423385192
75,0.01922116753804663
76,0.018553962121410777
77,0.01812424120750787
78,0.017782448150126133
79,0.018492069498497597
80,0.018517017061276345
81,0.01843740266691367
82,0.017837321054493295
83,0.018043067287801327
84,0.01794579869195827
85,0.017633699659308333
86,0.0187194104664496
87,0.018507400733876994
88,0.018219553748186016
89,0.017873328041073347
90,0.018469174506339742
91,0.01753206437726716
92,0.018195367286645964
93,0.018465068262559402
94,0.017614354372831174
95,0.018416086061547366
96,0.018298706512576434
97,0.018642973055851903
98,0.01849867488805008
99,0.018586632750616908
100,0.018178675120033454
