Company,Weight,Percentage,Sharpe Ratio,Annual Return
"First Bancorp, Inc (ME) - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"Orion Group Holdings, Inc. Common",0.0,0.0,1.2556237624753923,423.02251299945505
Rayonier Inc. REIT Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN,0.0,0.0,1.2556237624753923,423.02251299945505
SWK Holdings Corporation - Common Stock,0.001170149,0.1170149,1.2556237624753923,423.02251299945505
"Wheeler Real Estate Investment Trust, Inc. - Common Stock",1.4177e-05,0.0014177,1.2556237624753923,423.02251299945505
"Enzo Biochem, Inc. Common Stock ($0.01 Par Value)",0.0,0.0,1.2556237624753923,423.02251299945505
Cross Timbers Royalty Trust Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
First Horizon National Corporation Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
KKR & Co. Inc. Class A Common Stock,2.8022e-05,0.0028022,1.2556237624753923,423.02251299945505
"Maxim Integrated Products, Inc. - Common Stock",0.05141009,5.1410089999999995,1.2556237624753923,423.02251299945505
"New York Community Bancorp, Inc. Common Stock",1.9418e-05,0.0019418,1.2556237624753923,423.02251299945505
"Mattel, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
STERIS plc (Ireland) Ordinary Shares,0.0,0.0,1.2556237624753923,423.02251299945505
"Digital Turbine, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Market Vectors Double Long Euro ETN,0.0,0.0,1.2556237624753923,423.02251299945505
"The Hackett Group, Inc. - Common Stock",0.004598317,0.4598317,1.2556237624753923,423.02251299945505
"Revlon, Inc. New Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Amerco - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
Dollar General Corporation Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
Equity Commonwealth Common Shares of Beneficial Interest,0.000825123,0.0825123,1.2556237624753923,423.02251299945505
Liberty Global plc - Class A Ordinary Shares,0.0,0.0,1.2556237624753923,423.02251299945505
Acceleron Pharma Inc. - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
NiSource Inc Common Stock,0.00172011,0.172011,1.2556237624753923,423.02251299945505
L.B. Foster Company - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
iPath Bloomberg Lead Subindex Total Return SM Index ETN,0.0,0.0,1.2556237624753923,423.02251299945505
"S&T Bancorp, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"Chunghwa Telecom Co., Ltd.",0.0,0.0,1.2556237624753923,423.02251299945505
Western Asset Inflation-Linked Opportunities & Income Fund,0.0,0.0,1.2556237624753923,423.02251299945505
Taylor Morrison Home Corporation Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
"Immunic, Inc.  - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"Omega Healthcare Investors, Inc. Common Stock",0.001463489,0.14634889999999998,1.2556237624753923,423.02251299945505
Walt Disney Company (The) Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
iPath Women in Leadership ETN,0.0,0.0,1.2556237624753923,423.02251299945505
Regulus Therapeutics Inc. - Common Stock,3e-09,3e-07,1.2556237624753923,423.02251299945505
"Avis Budget Group, Inc. - Common Stock",6.97e-07,6.97e-05,1.2556237624753923,423.02251299945505
China Finance Online Co. Limited - American Depositary Shares,0.0,0.0,1.2556237624753923,423.02251299945505
Ellomay Capital Ltd Ordinary Shares (Israel),8e-09,8.000000000000001e-07,1.2556237624753923,423.02251299945505
DBV Technologies S.A. - American Depositary Shares,0.0,0.0,1.2556237624753923,423.02251299945505
"GDL Fund, The Common Shares of Beneficial Interest",0.0,0.0,1.2556237624753923,423.02251299945505
"Apogee Enterprises, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"Summer Infant, Inc. - Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
PIMCO Municipal Income Fund III Common Shares of Beneficial Interest,0.0,0.0,1.2556237624753923,423.02251299945505
"Tyler Technologies, Inc. Common Stock",0.095616565,9.5616565,1.2556237624753923,423.02251299945505
"Ryder System, Inc. Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"Tortoise Midstream Energy Fund, Inc. Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
Newell Brands Inc. - Common Stock,0.0,0.0,1.2556237624753923,423.02251299945505
"NL Industries, Inc. Common Stock",0.0,0.0,1.2556237624753923,423.02251299945505
"TRI Pointe Group, Inc. Common Stock",0.000195398,0.0195398,1.2556237624753923,423.02251299945505
Interstate Power and Light Company - Interstate Power & Light Company Perp Preferred 5.10% Series D,0.0,0.0,1.2556237624753923,423.02251299945505
