Company,Weight,Percentage,Sharpe Ratio,Annual Return
"AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",0.0,0.0,0.9089289271866603,482.7129124311099
"Cisco Systems, Inc. - Common Stock",0.0429635696632822,4.29635696632822,0.9089289271866603,482.7129124311099
"Primerica, Inc. Common Stock",0.0,0.0,0.9089289271866603,482.7129124311099
Nuveen Municipal Credit Income Fund ,0.1570202393875655,15.702023938756552,0.9089289271866603,482.7129124311099
Unit Corporation Common Stock,2.515712307145726e-06,0.0002515712307145726,0.9089289271866603,482.7129124311099
"HubSpot, Inc. Common Stock",0.15765787751849508,15.765787751849508,0.9089289271866603,482.7129124311099
Great Panther Mining Limited Ordinary Shares (Canada),0.0,0.0,0.9089289271866603,482.7129124311099
"Sinclair Broadcast Group, Inc. - Class A Common Stock",4.037885884286394e-09,4.0378858842863944e-07,0.9089289271866603,482.7129124311099
"United Fire Group, Inc - Common Stock",0.0,0.0,0.9089289271866603,482.7129124311099
AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index - Metals Total Return Structured Product,0.0,0.0,0.9089289271866603,482.7129124311099
"Guaranty Federal Bancshares, Inc. - Common Stock",0.10262606171958312,10.262606171958312,0.9089289271866603,482.7129124311099
"Air T, Inc. - Common Stock",0.0,0.0,0.9089289271866603,482.7129124311099
SITE Centers Corp. Common Stock,4.638811749482521e-08,4.638811749482521e-06,0.9089289271866603,482.7129124311099
Nuveen New York Select Tax-Free Income Portfolio Common Stock,0.00013120875065383999,0.013120875065384,0.9089289271866603,482.7129124311099
BlackRock New York Municipal Income Trust,0.0,0.0,0.9089289271866603,482.7129124311099
"Regional Health Properties, Inc. Common Stock",0.0,0.0,0.9089289271866603,482.7129124311099
"Innovative Solutions and Support, Inc. - Common Stock",0.0,0.0,0.9089289271866603,482.7129124311099
"Kandi Technologies Group, Inc. - Common Stock",0.0,0.0,0.9089289271866603,482.7129124311099
Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,0.0,0.0,0.9089289271866603,482.7129124311099
"Transcat, Inc. - Common Stock",5.17049956162402e-06,0.000517049956162402,0.9089289271866603,482.7129124311099
Carolina Financial Corporation - Common Stock,0.15757362845746167,15.757362845746167,0.9089289271866603,482.7129124311099
"Natuzzi, S.p.A.",0.0,0.0,0.9089289271866603,482.7129124311099
"Advanced Energy Industries, Inc. - Common Stock",0.15578282977325705,15.578282977325705,0.9089289271866603,482.7129124311099
"United Airlines Holdings, Inc. - Common Stock",0.0,0.0,0.9089289271866603,482.7129124311099
"T. Rowe Price Group, Inc. - Common Stock",0.0,0.0,0.9089289271866603,482.7129124311099
"Intuitive Surgical, Inc. - Common Stock",0.15755018381109512,15.755018381109512,0.9089289271866603,482.7129124311099
"EastGroup Properties, Inc. Common Stock",0.15781437649444116,15.781437649444117,0.9089289271866603,482.7129124311099
Ellington Financial Inc. Common Stock ,0.0031096224130266084,0.3109622413026608,0.9089289271866603,482.7129124311099
"NVR, Inc. Common Stock",0.15783738032783323,15.783738032783322,0.9089289271866603,482.7129124311099
"Frequency Electronics, Inc. - Common Stock",0.0,0.0,0.9089289271866603,482.7129124311099
"Worthington Industries, Inc. Common Stock",0.0,0.0,0.9089289271866603,482.7129124311099
Perrigo Company plc Ordinary Shares,0.0,0.0,0.9089289271866603,482.7129124311099
"Lincoln Electric Holdings, Inc. - Common Shares",0.0053808181331382494,0.538081813313825,0.9089289271866603,482.7129124311099
RPT Realty Common Stock,0.0,0.0,0.9089289271866603,482.7129124311099
"Veracyte, Inc. - Common Stock",0.008894779750761524,0.8894779750761524,0.9089289271866603,482.7129124311099
"USA Compression Partners, LP Common Units Representing Limited Partner Interests",0.001494827243501193,0.1494827243501193,0.9089289271866603,482.7129124311099
Cohen & Company Inc.,0.0,0.0,0.9089289271866603,482.7129124311099
Neuberger Berman California Municipal Fund Inc Common Stock,0.0,0.0,0.9089289271866603,482.7129124311099
"Douglas Dynamics, Inc. Common Stock",0.15472703650136474,15.472703650136474,0.9089289271866603,482.7129124311099
Pivotal Investment Corporation II Class A Common Stock,0.1578284949863236,15.782849498632359,0.9089289271866603,482.7129124311099
"PRGX Global, Inc. - Common Stock",0.0,0.0,0.9089289271866603,482.7129124311099
Enerplus Corporation Common Stock,0.0004437809491091221,0.04437809491091221,0.9089289271866603,482.7129124311099
"India Fund, Inc. (The) Common Stock",0.000198421752528147,0.0198421752528147,0.9089289271866603,482.7129124311099
Koninklijke Philips N.V. NY Registry Shares,0.0,0.0,0.9089289271866603,482.7129124311099
UNIVERSAL INSURANCE HOLDINGS INC Common Stock,0.0,0.0,0.9089289271866603,482.7129124311099
Anheuser-Busch Inbev SA Sponsored ADR (Belgium),1.9628716356093686e-06,0.00019628716356093686,0.9089289271866603,482.7129124311099
Orrstown Financial Services Inc - Common Stock,5.205666018488139e-11,5.205666018488139e-09,0.9089289271866603,482.7129124311099
PIMCO Income Strategy Fund Shares of Beneficial Interest,7.799270237926236e-07,7.799270237926236e-05,0.9089289271866603,482.7129124311099
Precision Drilling Corporation Common Stock,0.0,0.0,0.9089289271866603,482.7129124311099
"Orion Energy Systems, Inc. - Common Stock",0.0,0.0,0.9089289271866603,482.7129124311099
